Matching number;App list;Guidepost update
750;390;0.058796329190954566
750;390;0.011316204909235239
750;390;0.08704781113192439
750;390;0.004574320977553725
750;390;0.004129309905692935
750;390;0.02126068901270628
750;390;0.02341258293017745
750;390;0.07828120305202901
750;390;0.004634062992408872
750;390;0.017868126975372434
750;390;0.07072082301601768
750;390;0.06708930805325508
750;390;0.00930403801612556
750;390;0.025683871004730463
750;390;0.0179478800855577
750;390;0.03859216999262571
750;390;0.021333328913897276
750;390;0.1494401479139924
750;390;0.1715888329781592
750;390;0.011417672038078308
750;390;0.008295855950564146
750;390;0.004382604965940118
750;390;0.004271792015060782
750;390;0.0034646140411496162
750;390;0.12806823919527233
750;390;0.02172428579069674
750;390;0.004264288116246462
750;390;0.07323708618059754
750;390;0.004543322138488293
750;390;0.08937219087965786
750;390;0.0680468981154263
750;390;0.004332510055974126
750;390;0.03652202803641558
750;390;0.0385758220218122
750;390;0.007411690196022391
750;390;0.07301330496557057
750;390;0.05507444799877703
750;390;0.017569557996466756
750;390;0.016578322974964976
750;390;0.046161701902747154
750;390;0.010247724829241633
750;390;0.003797604003921151
750;390;0.037633705884218216
750;390;0.009906055871397257
750;390;0.009996716864407063
750;390;0.004294070182368159
750;390;0.009953452041372657
750;390;0.0353385282214731
750;390;0.10218687099404633
750;390;0.007442949106916785
750;390;0.06077419291250408
750;390;0.003753395052626729
750;390;0.01833748584613204
750;390;0.011139124864712358
750;390;0.03348105913028121
750;390;0.00801412994042039
750;390;0.004549541976302862
750;390;0.006991544039919972
750;390;0.03275480912998319
750;390;0.04022988909855485
750;390;0.01995432307012379
750;390;0.016335980035364628
750;390;0.02538485499098897
750;390;0.006702393060550094
750;390;0.006873450009152293
750;390;0.022252109833061695
750;390;0.036516495048999786
750;390;0.030903908889740705
750;390;0.03469054005108774
750;390;0.043973871041089296
750;390;0.03493658290244639
750;390;0.004218858201056719
750;390;0.00449695298448205
750;390;0.0041232630610466
750;390;0.003998765954747796
750;390;0.055276616010814905
750;390;0.032236865954473615
750;390;0.011560153216123581
750;390;0.003930477891117334
750;390;0.1163230009842664
750;390;0.016411877935752273
750;390;0.044877093052491546
750;390;0.014983123168349266
750;390;0.007107478799298406
750;390;0.050646170042455196
750;390;0.01629095315001905
750;390;0.14061216195113957
750;390;0.032339450903236866
750;390;0.009253171971067786
750;390;0.0033883550204336643
