Parsing time	Functional matching time	Corpus time	Semantic matching time	Syntactic matching time	Ordering time	QoS matching time	SP matching time	Total matching time
0,002107039	11,91392244	0,009275335	10,83412351	1,04623129	0,001734623	0,085017126	0,024243012	12,04942118
0,00232308	7,13771409	0,008944609	6,030455834	1,074590338	0,0008599	0,033959622	0,006454118	7,191538409
0,001627562	9,190484726	0,00978638	8,122351616	1,03564174	0,000499133	0,004399378	0,003235279	9,206709008
0,001512086	12,12127405	0,009333746	11,01305384	1,075478676	0,001220404	0,04182652	0,014896241	12,20005465
0,001690305	13,25843015	0,009211788	12,16775598	1,057506424	0,000672221	0,012988866	0,004245426	13,28669166
0,002300807	3,079013306	0,009517608	2,011758336	1,032765689	0,001448287	0,061112	0,01623287	3,176470934
0,001575892	10,57425392	0,009915283	9,385159894	1,153579819	0,00127835	0,054247781	0,018565415	10,67183238
0,001887266	18,19167029	0,009985476	17,03982447	1,117215245	0,000890352	0,027651806	0,008989419	18,24535994
0,001859535	11,67749563	0,010126211	10,59917366	1,044097365	0,000939241	0,030523269	0,010203257	11,74218835
0,002054386	17,22760698	0,009326005	16,17499373	1,019858954	0,00081552	0,010541644	0,00622254	17,26015998
0,001320864	6,482683067	0,009008647	5,403178127	1,046654271	0,000664287	0,007910125	0,005255481	6,513672668
0,001361996	17,89133743	0,00969509	16,81407811	1,043512227	0,000961192	0,039242345	0,013889937	17,96758497
0,001426945	16,79444558	0,010534171	15,7409444	1,019596075	0,000876379	0,034970382	0,010256156	16,85283171
0,00130829	9,869162831	0,009741034	8,785923703	1,049778765	0,001035943	0,015982425	0,008834216	9,911434775
0,001494308	16,46022024	0,010162814	15,39171546	1,034393184	0,000878561	0,013303471	0,008219091	16,49954214
0,001335255	12,88087964	0,009414684	11,83583586	1,0131574	0,000590462	0,006154935	0,003874891	12,90085309
0,00138762	8,758762179	0,009146673	7,732460326	0,993911841	0,000617372	0,017683745	0,007117076	8,794866538
0,002203709	13,20710882	0,010410085	12,15599483	1,017480704	0,000487788	0,008002815	0,002277259	13,22544909
0,001990918	11,65797086	0,009461187	10,59922571	1,025321272	0,000446905	0,002655301	0,001662113	11,66972957
0,001364733	12,36209469	0,009567346	11,28100953	1,048532131	0,000693152	0,014155461	0,006337933	12,3965473
0,001707534	16,44080027	0,011057557	15,34280678	1,063395021	0,000495767	0,003887228	0,002176208	16,45541172
0,001478676	3,372911745	0,009502064	2,366661189	0,972905997	0,001223772	0,019285211	0,00910308	3,422601659
0,001921564	17,88231517	0,009201415	16,78064693	1,068727985	0,000865029	0,020816109	0,007949007	17,92384889
0,001795302	11,94879188	0,00898117	10,88968369	1,025812006	0,00132089	0,017139702	0,007392801	11,9884144
0,001386164	17,92860742	0,009145423	16,81933984	1,076910799	0,000544157	0,005107725	0,002475455	17,94987858
0,001308749	16,7316723	0,009393776	15,68112236	1,017814487	0,000969746	0,014273262	0,006945043	16,77392096
0,001740913	8,82650476	0,009080127	7,798746929	0,995854255	0,00078997	0,020890555	0,006377867	8,864371367
0,001288689	17,44912497	0,009196977	16,35794984	1,058405655	0,000518017	0,00337698	0,001423239	17,47640775
0,001438646	16,66685932	0,009634337	15,56865729	1,065225456	0,000690537	0,006907233	0,003811562	16,69349657
0,001403197	17,91998421	0,009336872	16,82118261	1,065417388	0,001329108	0,017869517	0,013952362	17,9775577
0,001364971	6,451892714	0,00931428	5,392531104	1,027131859	0,00070935	0,021488474	0,007640161	6,49113515
0,001254508	11,76661659	0,009239277	10,71825351	1,015818786	0,000622272	0,006264923	0,003741085	11,7875537
0,001256859	16,82324301	0,009575844	15,71697537	1,072710498	0,000929113	0,012618504	0,006937429	16,8565863
0,001671538	18,69592045	0,009287496	17,55445239	1,108106502	0,001058329	0,036526999	0,014331988	18,78887224
0,002121215	6,48565897	0,009045032	5,39567027	1,056075744	0,000782497	0,010185097	0,005300863	6,519976791
0,001806683	8,522360686	0,009692032	7,441293217	1,048126332	0,000535317	0,004005862	0,002014602	8,537644364
0,001510577	16,53084265	0,009372434	15,44746137	1,050617823	0,000710551	0,008231822	0,003592821	16,55419678
