Number of individuals;String cleaning time
395;1.197700112243183e-05
396;1.1598000128287822e-05
397;1.2107000657124445e-05
398;1.2262997188372537e-05
399;1.2361000699456781e-05
400;1.1733001883840188e-05
401;1.2729000445688143e-05
402;1.2743999832309783e-05
403;1.3100001524435356e-05
404;1.2520002201199532e-05
405;1.3059001503279433e-05
406;1.1303000064799562e-05
407;1.2143002095399424e-05
408;1.3038999895798042e-05
409;1.3074997696094215e-05
410;1.2481999874580652e-05
411;1.1889002053067088e-05
412;1.2421998690115288e-05
413;1.1881998943863437e-05
414;1.2194002920296043e-05
415;1.2070002412656322e-05
416;1.2047999916831031e-05
417;2.1181996999075636e-05
418;1.118999716709368e-05
419;1.0785999620566145e-05
420;1.1117001122329384e-05
421;1.1095999070676044e-05
422;1.0972999007208273e-05
423;1.0200001270277426e-05
424;1.0746000043582171e-05
425;1.0288000339642167e-05
426;1.1462998372735456e-05
427;1.0891999409068376e-05
428;9.92700006463565e-06
429;1.0856998414965346e-05
430;1.0423998901387677e-05
431;1.1295000149402767e-05
432;1.0563999239820987e-05
433;1.1159001587657258e-05
434;1.046599936671555e-05
435;1.1346000974299386e-05
436;1.0730000212788582e-05
437;1.0122999810846522e-05
438;1.0821000614669174e-05
439;1.732400050968863e-05
440;1.1206000635866076e-05
441;1.0959000064758584e-05
442;9.857001714408398e-06
443;2.7280999347567558e-05
444;1.2242002412676811e-05
445;1.223599974764511e-05
446;1.0080999345518649e-05
447;1.0808998922584578e-05
448;1.0716001270338893e-05
449;9.75600050878711e-06
450;9.144001523964107e-06
451;9.753002814250067e-06
452;1.0294003004673868e-05
453;1.0099000064656138e-05
454;9.675000910647213e-06
455;1.0787000064738095e-05
456;1.00860015663784e-05
457;8.996998076327145e-06
458;9.240997314918786e-06
459;1.0174000635743141e-05
460;8.676001016283408e-06
461;1.0112002200912684e-05
462;9.834002412389964e-06
463;9.120998583966866e-06
464;9.791998309083283e-06
465;9.831001079874113e-06
466;9.543000487610698e-06
467;1.0288000339642167e-05
468;1.0198000381933525e-05
469;9.253999451175332e-06
470;9.589999535819516e-06
471;9.662999218562618e-06
472;8.695998985785991e-06
473;9.242001397069544e-06
474;9.47499938774854e-06
475;9.560000762576237e-06
476;9.628001862438396e-06
477;9.551000403007492e-06
478;9.725001291371882e-06
479;9.63200000114739e-06
480;1.0044001101050526e-05
481;9.673000022303313e-06
482;9.565002983435988e-06
483;1.5944999177008867e-05
484;9.231000149156898e-06
485;9.886000043479726e-06
486;9.326002327725291e-06
487;9.245999535778537e-06
488;9.583000064594671e-06
489;9.020001016324386e-06
490;9.673000022303313e-06
491;1.642099960008636e-05
492;9.837000106927007e-06
493;9.916002454701811e-06
494;9.7699994512368e-06
495;9.130002581514418e-06
496;1.707599949440919e-05
497;8.084000000962988e-06
498;8.666997018735856e-06
499;8.810999133856967e-06
500;1.0469000699231401e-05
501;8.417002391070127e-06
502;8.748997061047703e-06
503;8.936000085668638e-06
504;8.071001502685249e-06
505;9.71699773799628e-06
506;9.143001079792157e-06
507;7.990001904545352e-06
508;8.429000445175916e-06
509;8.1389989645686e-06
510;8.689999958733097e-06
511;9.107003279495984e-06
512;8.281000191345811e-06
513;8.734998118598014e-06
514;8.447997970506549e-06
515;8.928000170271844e-06
516;8.19500201032497e-06
517;8.442999387625605e-06
518;8.958999387687072e-06
519;8.997998520499095e-06
520;8.808001439319924e-06
521;8.243998308898881e-06
522;8.408998837694526e-06
523;8.841001545079052e-06
524;8.62600063555874e-06
525;8.394999895244837e-06
526;8.787999831838533e-06
527;1.0114999895449728e-05
528;8.47300179884769e-06
529;1.1195003025932238e-05
530;1.0281997674610466e-05
531;8.236002031480893e-06
532;8.652998076286167e-06
533;8.045000868150964e-06
534;9.136998414760455e-06
535;8.02300201030448e-06
536;9.742998372530565e-06
537;8.979000995168462e-06
538;8.41799919726327e-06
539;9.300001693191007e-06
540;8.969000191427767e-06
541;9.16399949346669e-06
542;8.987000910565257e-06
543;8.279002940980718e-06
544;8.806000550976023e-06
545;8.079998224275187e-06
546;9.142000635620207e-06
547;9.016999683808535e-06
548;9.277999197365716e-06
549;8.926999726099893e-06
550;9.407001925865188e-06
551;8.858998626237735e-06
552;8.687002264196053e-06
553;8.633000106783584e-06
554;9.038001735461876e-06
555;9.125000360654667e-06
556;8.759998308960348e-06
557;8.700997568666935e-06
558;8.63000241224654e-06
559;9.530998795526102e-06
560;9.686002158559859e-06
561;9.190000128000975e-06
562;8.412000170210376e-06
563;9.160001354757696e-06
564;8.808998245513067e-06
565;8.667997462907806e-06
566;8.854000043356791e-06
567;8.757000614423305e-06
568;9.349998435936868e-06
569;9.601000783732161e-06
570;8.271999831777066e-06
571;8.061000698944554e-06
572;8.209000952774659e-06
573;8.404000254813582e-06
574;8.127000910462812e-06
575;8.097998943412676e-06
576;9.135001164395362e-06
577;8.15699968370609e-06
578;8.114999218378216e-06
579;9.403000149177387e-06
580;8.48800118546933e-06
581;8.48800118546933e-06
582;9.323997801402584e-06
583;8.257000445155427e-06
584;9.405001037521288e-06
585;8.401999366469681e-06
586;9.311999747296795e-06
587;9.237999620381743e-06
588;9.05900014913641e-06
589;9.071998647414148e-06
590;8.781997166806832e-06
591;9.543000487610698e-06
592;8.839000656735152e-06
593;8.760998753132299e-06
594;8.863000402925536e-06
595;8.948001777753234e-06
596;7.97799657448195e-06
597;8.57299892231822e-06
598;8.262999472208321e-06
599;8.110000635497272e-06
600;8.776998583925888e-06
601;8.980998245533556e-06
602;8.31700162962079e-06
603;8.45199974719435e-06
604;8.792998414719477e-06
605;8.45199974719435e-06
606;9.142000635620207e-06
607;8.33000012789853e-06
608;8.88700014911592e-06
609;7.939001079648733e-06
610;8.887996955309063e-06
611;8.2949991337955e-06
612;8.88599970494397e-06
613;8.786999387666583e-06
614;8.603998139733449e-06
615;8.570001227781177e-06
616;8.233000698965043e-06
617;8.793002052698284e-06
618;9.603799844626337e-05
619;1.4498000382445753e-05
620;1.1394000466680154e-05
621;9.889001375995576e-06
622;1.0511997970752418e-05
623;8.450002496829256e-06
624;7.992999599082395e-06
625;8.57499981066212e-06
626;9.406001481693238e-06
627;8.31099896458909e-06
628;8.532002539141104e-06
629;9.16700082598254e-06
630;7.940001523820683e-06
631;8.208000508602709e-06
632;7.905997335910797e-06
633;8.883002010406926e-06
634;9.801002306630835e-06
635;8.938997780205682e-06
636;8.680002792971209e-06
637;1.0237999958917499e-05
638;1.0462001228006557e-05
639;9.712999599287286e-06
640;1.0101000953000039e-05
641;1.0356001439504325e-05
642;8.975999662652612e-06
643;8.477996743749827e-06
644;7.907001418061554e-06
645;7.74000000092201e-06
646;8.079998224275187e-06
647;9.031999070430174e-06
648;8.850001904647797e-06
649;8.734998118598014e-06
650;8.335999154951423e-06
651;7.834998541511595e-06
652;8.088001777650788e-06
653;8.398001227760687e-06
654;9.053001122083515e-06
655;8.521001291228458e-06
656;8.491999324178323e-06
657;8.823000825941563e-06
658;7.734000973869115e-06
659;9.326002327725291e-06
660;8.562001312384382e-06
661;7.58399983169511e-06
662;7.662998541491106e-06
663;8.977000106824562e-06
664;8.619997970527038e-06
665;8.931001502787694e-06
666;8.563998562749475e-06
667;2.853700061677955e-05
668;8.881001122063026e-06
669;8.230999810621142e-06
670;8.375001925742254e-06
671;8.424001862294972e-06
672;9.239000064553693e-06
673;8.225000783568248e-06
674;8.817998605081812e-06
675;8.762999641476199e-06
676;8.387996786041185e-06
677;8.838000212563202e-06
678;9.581999620422721e-06
679;9.18300065677613e-06
680;8.985000022221357e-06
681;9.16399949346669e-06
682;8.741000783629715e-06
683;9.266001143259928e-06
684;8.660001185489818e-06
685;9.030001820065081e-06
686;8.75000114319846e-06
687;9.242001397069544e-06
688;8.27799885882996e-06
689;8.01699934527278e-06
690;8.41799919726327e-06
691;8.309001714223996e-06
692;7.953000022098422e-06
693;8.462000550935045e-06
694;9.088002116186544e-06
695;8.281000191345811e-06
696;8.835999324219301e-06
697;7.611000910401344e-06
698;8.145998435793445e-06
699;8.90299997990951e-06
700;8.459999662591144e-06
701;8.908999006962404e-06
702;8.39799758978188e-06
703;8.579998393543065e-06
704;8.676001016283408e-06
705;8.674000127939507e-06
706;8.146998879965395e-06
707;7.905000529717654e-06
708;6.150699846330099e-05
709;1.3447002856992185e-05
710;1.1899999663000926e-05
711;1.3090000720694661e-05
712;1.2819000403396785e-05
713;1.9985000108135864e-05
714;1.339799928246066e-05
715;1.2151002010796219e-05
716;1.1462998372735456e-05
717;3.521899998304434e-05
718;1.2725999113172293e-05
719;1.221999991685152e-05
720;1.1815001926152036e-05
721;1.2284999684197828e-05
722;1.3778000720776618e-05
723;1.2590997357619926e-05
724;1.2486998457461596e-05
725;1.3568998838309199e-05
726;1.2324999261181802e-05
727;1.3008000678382814e-05
728;1.2163000064902008e-05
729;1.2407999747665599e-05
730;1.195699951495044e-05
731;1.2261996744200587e-05
732;1.2380001862766221e-05
733;1.3124998076818883e-05
734;1.292699744226411e-05
735;1.2864999007433653e-05
736;1.3069999113213271e-05
737;1.2458000128390267e-05
738;1.223700019181706e-05
739;1.2955999409314245e-05
740;1.3158998626749963e-05
741;1.2636002793442458e-05
742;1.3188000593800098e-05
743;1.2404001608956605e-05
744;1.2260999938007444e-05
745;1.2907999916933477e-05
746;1.2846998288296163e-05
747;1.604000135557726e-05
748;9.380000847158954e-06
749;8.790000720182434e-06
750;9.057002898771316e-06
751;9.055002010427415e-06
752;9.153001883532852e-06
753;8.973998774308711e-06
754;8.94100230652839e-06
755;8.913000783650205e-06
756;8.514998626196757e-06
757;1.4574998203897849e-05
758;9.557999874232337e-06
759;1.4938999811420217e-05
760;8.875002095010132e-06
761;8.841998351272196e-06
762;9.104998753173277e-06
763;8.817001798888668e-06
764;8.716000593267381e-06
765;8.639999578008428e-06
766;9.522998880129308e-06
767;8.586997864767909e-06
768;8.92200114321895e-06
769;8.661001629661769e-06
770;8.497001545038074e-06
771;9.266001143259928e-06
772;9.014998795464635e-06
773;8.308001270052046e-06
774;8.875002095010132e-06
775;8.546001481590793e-06
776;8.538998372387141e-06
777;8.912000339478254e-06
778;8.707000233698636e-06
779;9.229999704984948e-06
780;8.652001270093024e-06
781;9.323997801402584e-06
782;8.772000001044944e-06
783;9.192001016344875e-06
784;1.2631000572582707e-05
785;8.926999726099893e-06
786;8.927996532293037e-06
787;8.623002941021696e-06
788;9.113999112742022e-06
789;1.0183000995311886e-05
790;9.460996807320043e-06
791;8.898001397028565e-06
792;9.455001418245956e-06
793;9.174000297207385e-06
794;9.025003237184137e-06
795;9.431998478248715e-06
796;8.899998647393659e-06
797;9.239000064553693e-06
798;8.891001925803721e-06
799;8.72999953571707e-06
800;8.932001946959645e-06
801;1.4583998563466594e-05
802;7.926999387564138e-06
803;9.196999599225819e-06
804;8.132999937515706e-06
805;8.936000085668638e-06
806;8.307000825880095e-06
807;9.234001481672749e-06
808;8.377999620279297e-06
809;1.036200046655722e-05
810;8.012000762391835e-06
811;8.044000423979014e-06
812;8.049999451031908e-06
813;8.31400029710494e-06
814;8.285998774226755e-06
815;8.631999662611634e-06
816;8.553000952815637e-06
817;8.55299731483683e-06
818;8.651000825921074e-06
819;8.687999070389196e-06
820;7.830996764823794e-06
821;8.918999810703099e-06
822;8.621998858870938e-06
823;9.022001904668286e-06
824;9.084000339498743e-06
825;8.487000741297379e-06
826;9.016999683808535e-06
827;8.527000318281353e-06
828;8.565999451093376e-06
829;8.996001270134002e-06
830;9.059996955329552e-06
831;8.160997822415084e-06
832;8.267001248896122e-06
833;8.574003004468977e-06
834;8.661001629661769e-06
835;9.581002814229578e-06
836;8.491999324178323e-06
837;9.278999641537666e-06
838;9.067000064533204e-06
839;9.02399915503338e-06
840;9.411996870767325e-06
841;8.988001354737207e-06
842;8.838997018756345e-06
843;8.828999852994457e-06
844;8.900002285372466e-06
845;9.127001248998567e-06
846;8.825001714285463e-06
847;1.4433000615099445e-05
848;8.544000593246892e-06
849;8.925999281927943e-06
850;8.208000508602709e-06
851;7.962000381667167e-06
852;9.351999324280769e-06
853;8.109000191325322e-06
854;8.881997928256169e-06
855;8.957998943515122e-06
856;8.715000149095431e-06
857;7.990998710738495e-06
858;8.753999281907454e-06
859;8.056998922256753e-06
860;9.569997928338125e-06
861;1.0389001545263454e-05
862;8.074999641394243e-06
863;8.566999895265326e-06
864;8.386999979848042e-06
865;9.094001143239439e-06
866;8.332997822435573e-06
867;9.044997568707913e-06
868;8.697003067936748e-06
869;8.390998118557036e-06
870;9.301002137362957e-06
871;9.645002137403935e-06
872;9.405997843714431e-06
873;8.143000741256401e-06
874;8.669998351251706e-06
875;8.695998985785991e-06
876;8.557999535696581e-06
877;8.528997568646446e-06
878;4.547700154944323e-05
879;1.3570999726653099e-05
880;1.2257998605491593e-05
881;1.2025000614812598e-05
882;1.1980999261140823e-05
883;1.1965999874519184e-05
884;1.2071999663021415e-05
885;2.2247000742936507e-05
886;1.1457999789854512e-05
887;1.2431999493855983e-05
888;1.2542001059046015e-05
889;1.2778000382240862e-05
890;1.1599000572459772e-05
891;1.343600160907954e-05
892;1.2100997992092744e-05
893;1.9345003238413483e-05
894;1.3175998901715502e-05
895;1.3333999959286302e-05
896;1.2454998795874417e-05
897;1.1831998563138768e-05
898;1.2153999705333263e-05
899;1.2598000466823578e-05
900;1.3055003364570439e-05
901;1.2971002433914691e-05
902;1.2177999451523647e-05
903;1.2292999599594623e-05
904;1.1825999536085874e-05
905;1.133199839387089e-05
906;1.1282998457318172e-05
907;1.2246000551385805e-05
908;1.2717002391582355e-05
909;1.2702003004960716e-05
910;1.1625001206994057e-05
911;1.1539999832166359e-05
912;1.1844000255223364e-05
913;1.2193999282317236e-05
914;1.2311000318732113e-05
915;1.2206000974401832e-05
916;1.1791002179961652e-05
917;1.2853997759521008e-05
918;1.2625998351722956e-05
919;1.1152998922625557e-05
920;1.2369000614853576e-05
921;1.1431999155320227e-05
922;1.0462001228006557e-05
923;1.1396998161217198e-05
924;1.0985000699292868e-05
925;1.044799864757806e-05
926;1.0929001291515306e-05
927;1.0405998182250187e-05
928;1.064000025507994e-05
929;1.09350003185682e-05
930;1.0821000614669174e-05
931;1.0890002158703282e-05
932;1.0244999430142343e-05
933;1.0471998393768445e-05
934;1.1659001756925136e-05
935;1.1493000783957541e-05
936;1.1310999980196357e-05
937;1.1235999409109354e-05
938;1.1519001418491825e-05
939;1.766599962138571e-05
940;1.0902997019002214e-05
941;1.1182000889675692e-05
942;1.0693001968320459e-05
943;1.0268999176332727e-05
944;1.0252999345539138e-05
945;1.065600008587353e-05
946;9.825998859014362e-06
947;9.883999155135825e-06
948;5.1785002142423764e-05
949;1.3624001439893618e-05
950;1.3411001418717206e-05
951;1.150800017057918e-05
952;1.131499811890535e-05
953;1.086199699784629e-05
954;1.1255997378611937e-05
955;1.0392999683972448e-05
956;1.0722000297391787e-05
957;9.781997505342588e-06
958;1.1025000276276842e-05
959;1.0784999176394194e-05
960;1.0455001756781712e-05
961;1.2006999895675108e-05
962;1.0990999726345763e-05
963;1.0854000720428303e-05
964;1.1046999134123325e-05
965;1.0732997907325625e-05
966;9.897001291392371e-06
967;1.1636002454906702e-05
968;1.0961000953102484e-05
969;1.1059000826207921e-05
970;1.1005999112967402e-05
971;1.0432999260956421e-05
972;1.0783998732222244e-05
973;1.0551997547736391e-05
974;1.0540999937802553e-05
975;1.1601001460803673e-05
976;1.1947002349188551e-05
977;1.0716001270338893e-05
978;9.997002052841708e-06
979;1.0415998985990882e-05
980;1.0091000149259344e-05
981;1.0594998457236215e-05
982;9.978000889532268e-06
983;9.775998478289694e-06
984;1.0697996913222596e-05
985;1.883100048871711e-05
986;1.0493000445421785e-05
987;1.0749001376098022e-05
988;1.0355997801525518e-05
989;1.1635998816927895e-05
990;1.1846001143567264e-05
991;1.1080999684054404e-05
992;1.081700247596018e-05
993;1.1697000445565209e-05
994;1.1140000424347818e-05
995;1.1280000762781128e-05
996;1.1151998478453606e-05
997;1.0927000403171405e-05
998;1.0947998816845939e-05
999;1.0961000953102484e-05
1000;1.1077998351538554e-05
1001;1.0706000466598198e-05
1002;1.1030002497136593e-05
1003;1.1318003089400008e-05
1004;1.07769992609974e-05
1005;1.1734002328012139e-05
1006;1.12490015453659e-05
1007;1.1459997040219605e-05
1008;1.1669999366858974e-05
1009;1.1178999557159841e-05
1010;9.953997505363077e-06
1011;9.900999430101365e-06
1012;1.0445000953041017e-05
1013;1.0305000614607707e-05
1014;1.0199000826105475e-05
1015;1.04629980341997e-05
1016;1.0104999091709033e-05
1017;1.0564999683992937e-05
1018;1.1709998943842947e-05
1019;1.0895000741584226e-05
1020;1.049899947247468e-05
1021;1.133399928221479e-05
1022;1.3099001080263406e-05
1023;1.131499811890535e-05
1024;1.0375002602813765e-05
1025;9.457999112783e-06
1026;9.825002052821219e-06
1027;1.0181000106967986e-05
1028;9.852999937720597e-06
1029;9.02600004337728e-06
1030;9.801999112823978e-06
1031;5.994000093778595e-05
1032;9.75500006461516e-06
1033;8.774997695581988e-06
1034;9.256000339519233e-06
1035;9.638999472372234e-06
1036;8.818999049253762e-06
1037;9.16299904929474e-06
