Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers		Initial execution	18,34048353	1118
0,803413489	0,06482229	0,066992502	1285				
0,914886565	0,031747321	0,063883798	1376				
1,037121471	0,04417374	0,062509257	1459				
1,126016147	0,026713829	0,045725826	1521				
1,233047067	0,02807137	0,062266239	1597				
1,343747384	0,027096063	0,067847415	1671				
1,451881017	0,027825667	0,063657335	1744				
1,562555198	0,028115439	0,066145616	1823				
1,673001731	0,029161638	0,064554999	1892				
1,784260288	0,02863746	0,064531112	1964				
1,894061461	0,029048279	0,063764138	2034				
2,001687739	0,02969977	0,061237418	2105				
2,098932881	0,032620967	0,04726195	2158				
2,210825323	0,028416787	0,059994684	2228				
2,31593446	0,028633503	0,05938333	2296				
2,403196125	0,028720199	0,042158106	2348				
2,511855488	0,028774334	0,063386377	2416				
2,620793419	0,03003136	0,061729425	2484				
2,710139707	0,028762199	0,044195421	2536				
2,812791009	0,027632937	0,058269158	2605				
2,904936699	0,029148613	0,046947381	2660				
2,995264833	0,029527263	0,044482367	2712				
3,089800337	0,027438678	0,050365275	2764				
3,206483398	0,031048871	0,069414529	2832				
3,296842523	0,029197691	0,044892249	2884				
3,384900625	0,027353094	0,044934828	2936				
3,499518945	0,027145246	0,070727418	3004				
3,590439421	0,02735975	0,046921909	3056				
3,682031518	0,027242251	0,047670763	3108				
3,783348264	0,028198025	0,057567531	3160				
3,87461525	0,027021549	0,0480013	3212				
3,983519918	0,028108903	0,064337091	3279				
4,090126395	0,027349718	0,062164875	3343				
4,183671724	0,028718573	0,046477023	3398				
4,279985195	0,031292149	0,047845198	3450				
4,374741705	0,027321986	0,050767725	3502				
4,46469303	0,027550329	0,04556828	3550				
4,553329962	0,027549475	0,044444162	3598				
4,664692599	0,027268838	0,06746941	3666				
4,760872886	0,027897628	0,050565011	3714				
4,853797992	0,029230228	0,046933513	3766				
4,945281249	0,028983822	0,04486375	3814				
5,042738955	0,028893715	0,047037342	3866				
5,136371794	0,027888106	0,048309793	3914				
5,230543553	0,028734953	0,048544418	3966				
5,328674519	0,0308451	0,050819117	4015				
5,422232738	0,028317	0,048153521	4067				
5,512736529	0,028840587	0,045257339	4115				
5,618756449	0,027180463	0,061671487	4179				
5,712676735	0,028227149	0,047728187	4227				
5,80587351	0,029016836	0,046635223	4279				
5,898720992	0,028329206	0,048117443	4327				
5,989485417	0,027340599	0,047155601	4375				
6,106896201	0,027409043	0,073093216	4443				
6,20168968	0,028112246	0,04927734	4491				
6,297441768	0,028088504	0,049108474	4543				
6,393567737	0,031052292	0,043052439	4595				
6,485916887	0,030098748	0,044392494	4643				
6,57954334	0,02883867	0,047966197	4695				
6,677276438	0,030564117	0,049499188	4747				
6,772917778	0,029845961	0,048674077	4795				
6,868074466	0,028715811	0,049542251	4847				
6,965479092	0,028381012	0,050586592	4895				
7,066163187	0,030927732	0,052134322	4943				
7,167173857	0,030253452	0,051388164	4991				
7,265985255	0,028405419	0,051233893	5035				
7,368843089	0,034627174	0,049220124	5083				
7,465073336	0,031169734	0,047439297	5135				
7,571324839	0,027023234	0,061912073	5198				
7,668843203	0,027845522	0,052388126	5242				
7,770982536	0,027427305	0,051483613	5290				
7,867138058	0,028037514	0,049580059	5342				
7,961280366	0,028487947	0,048416587	5390				
8,07772548	0,029442217	0,06928845	5458				
8,172492571	0,028948563	0,048049241	5506				
8,268112075	0,028257126	0,049294802	5558				
8,362735348	0,028483936	0,048162698	5602				
8,456869596	0,027792345	0,04903734	5650				
8,554377767	0,032871901	0,046894651	5702				
8,650777126	0,028411973	0,050386081	5750				
8,743425106	0,027905944	0,047486964	5798				
8,838343894	0,027710655	0,04978464	5846				
8,939782762	0,029786845	0,052456846	5898				
9,057473513	0,031435983	0,065830022	5950				
9,16250352	0,032197072	0,05318111	5998				
9,273311094	0,031328621	0,056475253	6042				
9,375628104	0,029712254	0,054229258	6090				
9,475360079	0,029894948	0,0501613	6138				
9,585079457	0,032646872	0,051066624	6186				
9,717480628	0,062241879	0,049989059	6234				
9,811345142	0,026648256	0,048680132	6278				
9,904961068	0,026681516	0,04946398	6330				
9,998231404	0,027761137	0,04774173	6378				
10,09280439	0,028609506	0,04834842	6430				
10,19055245	0,027039188	0,053547715	6478				
10,28440848	0,026834682	0,04871407	6526				
10,38805439	0,026863778	0,058576664	6570				
10,47910823	0,027606925	0,046442855	6618				
10,57150624	0,026902124	0,04854166	6670				
10,66831024	0,028001151	0,048677482	6718				
10,77318128	0,031042465	0,055617588	6766				
10,86974119	0,02736406	0,052031601	6818				
10,965371	0,027762639	0,048632831	6870				
11,06120727	0,027322794	0,050597083	6918				
11,15753373	0,029998962	0,048179748	6966				
11,25435609	0,028842855	0,047717503	7018				
11,35057053	0,029468297	0,048097457	7066				
11,444323	0,028152839	0,047506848	7114				
11,54287536	0,02909328	0,051386281	7166				
11,640288	0,028232087	0,051432268	7211				
11,74248568	0,028075914	0,052933998	7259				
11,87520682	0,063982195	0,050704802	7307				
11,97419669	0,032107277	0,047835086	7356				
12,06817729	0,028686058	0,047131224	7400				
12,16565307	0,029625487	0,049480276	7452				
12,2640001	0,028043342	0,052018919	7500				
12,36058631	0,028253595	0,048863318	7548				
12,45549779	0,028761795	0,048219474	7600				
12,54948042	0,029068848	0,046721392	7648				
12,65254515	0,037015386	0,048608114	7700				
12,75086584	0,027859469	0,052097082	7748				
12,84439886	0,027558474	0,047911924	7796				
12,94895462	0,027567083	0,058358859	7844				
13,04459335	0,030867167	0,046570046	7892				
13,13990876	0,028573033	0,048244888	7940				
13,23702197	0,028611349	0,049758113	7988				
13,33216779	0,028270992	0,048554025	8036				
13,42520419	0,026392398	0,048690769	8080				
13,51743511	0,027393131	0,047433422	8128				
13,61536038	0,027608509	0,052642909	8180				
13,70714171	0,027154068	0,046649743	8229				
13,79870759	0,027509508	0,046202456	8273				
13,89435205	0,026916559	0,050670006	8321				
13,99034444	0,027659339	0,050143239	8369				
14,08690657	0,030911288	0,047305675	8417				
14,19188396	0,028442503	0,057112814	8465				
14,28599442	0,027019527	0,04793527	8506				
14,38142468	0,027577983	0,048335835	8554				
14,47708749	0,027247608	0,050067667	8595				
14,57067036	0,027308126	0,047966552	8643				
14,66777789	0,026948148	0,050440889	8695				
14,76602996	0,028058686	0,051662623	8743				
14,86221497	0,028021513	0,048603371	8791				
14,95974364	0,028164578	0,050275592	8839				
15,05581558	0,027373053	0,050193404	8887				
15,17655467	0,030066634	0,072098982	8935				
15,27227489	0,027539951	0,04907272	8983				
15,369293	0,028087611	0,049770216	9031				
15,47545727	0,028299306	0,054077375	9075				
15,57004383	0,027643935	0,048452916	9127				
15,66762626	0,029226667	0,049667959	9179				
15,76341383	0,02794338	0,049557231	9227				
15,85962583	0,027067068	0,051109124	9276				
15,95744252	0,02796578	0,051257139	9320				
16,05521938	0,030559222	0,047855702	9361				
16,1513673	0,027972142	0,049575096	9409				
16,25591311	0,031625967	0,05452363	9453				
16,35257431	0,027636863	0,050559628	9502				
16,45048473	0,027499843	0,051152761	9550				
16,5512115	0,027656766	0,054643707	9602				
16,66306103	0,02873811	0,06317743	9650				
16,76332306	0,027198648	0,053742556	9698				
16,86091678	0,027054374	0,051803368	9746				
16,95562285	0,027567891	0,047968922	9787				
17,05061191	0,027413404	0,048807488	9835				
17,14755242	0,028822798	0,048938253	9883				
17,25902883	0,027320069	0,056513424	9935				
17,36077915	0,032322386	0,050244044	9983				
17,45715822	0,027659693	0,049984767	10028				
17,55786156	0,02748872	0,053885181	10080				
17,65776504	0,0278776	0,05304336	10128				
17,78178955	0,02786983	0,050642652	10176				
17,88719369	0,026886338	0,059453973	10225				
17,98733747	0,028184369	0,052431372	10273				
18,08612734	0,027066813	0,051766244	10321				
18,18314918	0,027441474	0,050334007	10369				
18,28277112	0,027958351	0,051389461	10417				
18,38385136	0,028235244	0,053446327	10461				
18,48856541	0,033618232	0,051686032	10510				
18,58897459	0,029244189	0,050839245	10554				
18,68439531	0,028792289	0,04735308	10598				
18,78529901	0,028108493	0,052198403	10650				
18,88216595	0,028320794	0,049245161	10702				
18,98496584	0,027150536	0,056551883	10750				
19,09580735	0,028216098	0,06210055	10798				
19,1985296	0,02863098	0,054013561	10842				
19,29830102	0,027989646	0,050740905	10890				
19,39685121	0,028599786	0,050143525	10934				
19,49783404	0,027797689	0,053450002	10982				
19,60081497	0,030985148	0,051514637	11034				
19,69984141	0,027960017	0,051229619	11082				
19,7988445	0,027503107	0,050738668	11130				
19,90465976	0,029354605	0,055965389	11178				
20,00826709	0,028369334	0,054163398	11219				
20,10481742	0,028676642	0,048737209	11271				
20,20529446	0,027568871	0,053846947	11316				
20,30947457	0,029640558	0,054724068	11364				
20,41362179	0,029361014	0,052937067	11416				
20,5154997	0,029274388	0,05320793	11460				
20,62390253	0,030514192	0,058066331	11504				
20,72944151	0,032156394	0,052547774	11552				
20,82936669	0,028432806	0,05136744	11600				
20,92971842	0,028450231	0,051218661	11648				
21,02891101	0,027538966	0,052538569	11696				
21,13251435	0,028406379	0,055319305	11744				
21,23044393	0,028890668	0,05024809	11789				
21,33237955	0,028984761	0,053010136	11837				
21,42915316	0,028765882	0,048725612	11885				
21,53333253	0,029154652	0,0512499	11937				
21,63490502	0,02941254	0,052377988	11982				
21,74511089	0,032409129	0,056881951	12030				
21,85109463	0,031742496	0,052762719	12082				
21,94741306	0,028420204	0,048322431	12130				
22,05397479	0,028341618	0,05733322	12178				
22,15816973	0,028938446	0,054877533	12226				
22,2691451	0,028124645	0,062714279	12274				
22,36987092	0,028501974	0,051244744	12322				
22,47312114	0,028990203	0,05414342	12370				
22,57321422	0,028740646	0,051283645	12418				
22,6753011	0,029172558	0,052331254	12459				
22,77255943	0,029594111	0,047657306	12507				
22,8754088	0,030218396	0,052031413	12555				
23,00887693	0,064461704	0,048489174	12603				
23,111268	0,032192656	0,049813072	12647				
23,21815273	0,030498179	0,054271402	12695				
23,32970927	0,033522862	0,056184813	12743				
23,42866165	0,028929271	0,049613423	12783				
23,53295608	0,029749653	0,051158169	12831				
23,63422812	0,027910557	0,052456729	12879				
23,74148359	0,031311357	0,053817336	12923				
23,84087797	0,028142079	0,04936002	12971				
23,94131063	0,028709655	0,048054942	13016				
24,0397265	0,026976181	0,051234426	13064				
24,13733952	0,02788467	0,049479724	13109				
24,24799952	0,032230225	0,056698991	13150				
24,35604596	0,035107733	0,049297252	13194				
24,45775441	0,02827009	0,052681308	13238				
24,55808278	0,027752028	0,051143047	13286				
24,66836642	0,028920338	0,060427426	13334				
24,77405402	0,029525356	0,054273096	13378				
24,88049368	0,030102731	0,051515278	13426				
24,98394003	0,028458068	0,053488945	13474				
25,09092226	0,028222501	0,057276339	13518				
25,19313723	0,028845991	0,052065346	13566				
25,29828326	0,02883105	0,054309198	13614				
25,40468364	0,03182669	0,049765631	13662				
25,50550389	0,028111256	0,05237727	13714				
25,61055156	0,028499451	0,055085258	13762				
25,71197347	0,02979065	0,049578262	13803				
25,81530993	0,029477663	0,051756855	13851				
25,91792728	0,030144967	0,050735837	13903				
26,02181988	0,028193404	0,054003163	13951				
26,12330881	0,028708999	0,052048709	13995				
26,25658654	0,052099844	0,059687796	14043				
26,35550058	0,028131971	0,050001558	14091				
26,45783945	0,026844917	0,054889292	14136				
26,56099929	0,031723973	0,050652262	14184				
26,6608606	0,026933234	0,052249769	14228				
26,76311783	0,027360791	0,054097546	14276				
26,8621291	0,027478029	0,051398086	14324				
26,96234035	0,028126626	0,051483082	14372				
27,06048977	0,028361112	0,048923988	14420				
27,16242044	0,028362056	0,051246523	14468				
27,26250862	0,029216153	0,049104554	14516				
27,37128759	0,027130101	0,060264371	14561				
27,47103381	0,027134257	0,051730055	14605				
