Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers		Initial execution	9,554915853	1118
0,413095104	0,059153045	0,07227895	1286				
0,524849688	0,026793822	0,068053066	1379				
0,623515131	0,024317455	0,05864074	1465				
0,709531204	0,023925235	0,045210082	1523				
0,813360224	0,023422978	0,06372512	1597				
0,914830262	0,024700449	0,061158654	1671				
1,012969423	0,022810478	0,059433708	1743				
1,113300738	0,023921911	0,060578731	1816				
1,198989862	0,023554093	0,046288837	1868				
1,298215778	0,023142205	0,060473676	1941				
1,385745188	0,024055327	0,047371532	1996				
1,490053829	0,025442003	0,061908506	2064				
1,582605932	0,031157409	0,044698864	2113				
1,689494294	0,025278893	0,064737357	2181				
1,790382327	0,025271909	0,05796421	2249				
1,901352426	0,026630466	0,059773656	2314				
1,991125839	0,02734631	0,043799548	2365				
2,076635418	0,026138911	0,042647914	2417				
2,185916561	0,027518302	0,063679613	2485				
2,27473626	0,026352202	0,045263037	2537				
2,378871134	0,026434791	0,058879137	2606				
2,508265793	0,025204091	0,086738496	2673				
2,608885199	0,023475937	0,061298979	2725				
2,699685341	0,028803756	0,043298001	2777				
2,788629051	0,024353799	0,048559702	2829				
2,878403302	0,024449554	0,049011315	2881				
2,981640759	0,023838575	0,062211565	2949				
3,070216898	0,024084124	0,047757444	2997				
3,185255007	0,024284447	0,066827732	3067				
3,272883725	0,024992998	0,045643806	3115				
3,362350217	0,024375547	0,047780508	3163				
3,45052227	0,024255063	0,046903972	3215				
3,545117284	0,024188978	0,053525945	3263				
3,65850075	0,024391004	0,071760026	3327				
3,749056858	0,027130745	0,047105103	3375				
3,835800909	0,024447346	0,045951546	3427				
3,923046235	0,024051723	0,047331113	3479				
4,013467645	0,023766909	0,0491203	3531				
4,09817735	0,023921881	0,044971138	3583				
4,189500893	0,026284035	0,047310051	3635				
4,289099828	0,029877639	0,050922553	3683				
4,397199636	0,024851753	0,047514817	3735				
4,501627848	0,024976463	0,061313966	3804				
4,59242853	0,025501577	0,048014903	3856				
4,679551304	0,024640295	0,045134062	3908				
4,769344395	0,027321899	0,044810144	3956				
4,857349636	0,024485209	0,045832568	4008				
4,950629376	0,024814659	0,05049229	4056				
5,037490865	0,024634579	0,044659958	4108				
5,149046208	0,032071234	0,0619699	4175				
5,237200911	0,024109968	0,046426094	4219				
5,328141166	0,0237885	0,050496799	4271				
5,434807209	0,024537041	0,06272828	4341				
5,536164922	0,024168504	0,048668058	4393				
5,61919481	0,024829897	0,041670095	4441				
5,711356677	0,024575037	0,049753958	4493				
5,8046542	0,02687967	0,050069749	4541				
5,895261733	0,024044111	0,048957152	4593				
5,983539461	0,023687221	0,046835856	4645				
6,070020244	0,024158602	0,045015908	4697				
6,157916589	0,023994274	0,047369426	4749				
6,246214398	0,024323569	0,046280518	4794				
6,333088565	0,02303958	0,047383491	4846				
6,422608813	0,024778113	0,047606648	4894				
6,519836227	0,023419659	0,056999192	4946				
6,63210642	0,024120187	0,069391584	5010				
6,742991549	0,029083919	0,064418009	5073				
6,83217757	0,026694555	0,045569194	5121				
6,924463544	0,024074115	0,050558014	5169				
7,012040359	0,024956811	0,044970868	5217				
7,108046156	0,025794384	0,04701594	5269				
7,194330053	0,023765695	0,045965863	5317				
7,283113765	0,024369269	0,046708167	5365				
7,37674488	0,023522381	0,052374233	5417				
7,465914371	0,023138123	0,048819638	5469				
7,552425427	0,024050842	0,045905199	5513				
7,644095366	0,026305138	0,048442133	5554				
7,736255171	0,02344242	0,051913457	5606				
7,835401749	0,027733817	0,050527245	5650				
7,940160781	0,023479947	0,06330894	5718				
8,029920887	0,023337284	0,048643195	5766				
8,119820994	0,024247232	0,047795294	5818				
8,228926343	0,024465372	0,067155863	5885				
8,319283505	0,023648442	0,048903327	5933				
8,40788403	0,023635142	0,047411986	5985				
8,500327786	0,025042156	0,046709203	6033				
8,591243118	0,023963938	0,049728007	6081				
8,690408218	0,024958326	0,056832708	6129				
8,779297153	0,024750292	0,04736581	6177				
8,87372731	0,029907067	0,047437527	6229				
8,979913012	0,024705523	0,059640454	6281				
9,083693906	0,024546006	0,061448511	6329				
9,177532093	0,02541844	0,050017503	6377				
9,266462141	0,024617207	0,046490578	6425				
9,360436809	0,02529939	0,051137504	6473				
9,452207367	0,02416227	0,050353507	6521				
9,551039626	0,024310836	0,056759475	6573				
9,642453703	0,02319612	0,050583646	6621				
9,730193115	0,023441458	0,047408536	6670				
9,816582251	0,023287958	0,046093998	6718				
9,911118676	0,028339783	0,048580772	6770				
10,00208675	0,023503337	0,05051858	6818				
10,09065623	0,023463812	0,044960766	6866				
10,18122779	0,023444573	0,049911833	6914				
10,27239863	0,024263745	0,049720137	6962				
10,36589249	0,022950574	0,053333762	7010				
10,45576506	0,02370367	0,048942457	7062				
10,54666001	0,023476393	0,050165886	7110				
10,6387337	0,024226478	0,050884063	7158				
10,73024934	0,023915257	0,05024633	7206				
10,82124283	0,022982189	0,050513689	7254				
10,94992512	0,059238759	0,050705539	7302				
11,04253922	0,02678799	0,048499097	7350				
11,14007319	0,023952894	0,053802453	7398				
11,22813614	0,023804107	0,047048567	7446				
11,3236157	0,024098023	0,053858261	7498				
11,4121495	0,023424746	0,046922232	7550				
11,50025618	0,023228792	0,047558361	7602				
11,59225976	0,023644732	0,049976732	7650				
11,68261022	0,023330608	0,048360643	7698				
11,77409946	0,023599969	0,049349227	7746				
11,86788878	0,023796293	0,052250116	7795				
11,96167974	0,025343719	0,050915724	7843				
12,05491922	0,027935942	0,048122157	7891				
12,15040952	0,024002707	0,0539899	7939				
12,2454455	0,024993676	0,05168484	7987				
12,34121074	0,02285923	0,055186396	8035				
12,43189344	0,024054315	0,048726065	8087				
12,5286721	0,023289447	0,055774729	8135				
12,62034281	0,023205804	0,050333866	8183				
12,71029333	0,024366003	0,047849231	8231				
12,80541026	0,023660363	0,054011499	8279				
12,89651814	0,025538403	0,047990017	8331				
13,0186223	0,051606349	0,052296125	8379				
13,11475729	0,028435077	0,049936655	8423				
13,20956008	0,023850397	0,051575754	8471				
13,30567454	0,02547233	0,052356922	8519				
13,39720886	0,025179694	0,048147758	8571				
13,48523383	0,023554151	0,046293904	8616				
13,57353687	0,024215137	0,044896876	8664				
13,66686041	0,023640721	0,051049989	8716				
13,75874181	0,023444936	0,049233738	8764				
13,85249349	0,027644413	0,046715742	8812				
13,94357573	0,023749596	0,048053158	8856				
14,04107095	0,027912275	0,049629863	8908				
14,13877465	0,027982803	0,051519758	8956				
14,23330003	0,023684622	0,048072545	9004				
14,3251613	0,022828371	0,05077009	9052				
14,4189556	0,023719186	0,051651598	9097				
14,51131417	0,024986953	0,047734253	9145				
14,60403377	0,023740434	0,050381708	9189				
14,69803145	0,026411919	0,048408286	9237				
14,79077477	0,024592496	0,049309587	9285				
14,90545749	0,024247784	0,071055663	9333				
15,00577614	0,024137138	0,057908403	9385				
15,09934876	0,02423125	0,05076076	9437				
15,19951614	0,027401212	0,052644754	9485				
15,29543775	0,025487436	0,051269749	9533				
15,39299559	0,025954261	0,052743545	9581				
15,48806175	0,024073635	0,052483104	9633				
15,57881166	0,023829116	0,048191808	9681				
15,67151692	0,0242299	0,048119432	9726				
15,7672264	0,024416776	0,052184241	9774				
15,86169406	0,024429501	0,051290932	9822				
15,95655627	0,024100487	0,05227218	9867				
16,04950641	0,023729555	0,050845685	9915				
16,14060303	0,023975676	0,048874972	9963				
16,26444234	0,027661785	0,072849978	10015				
16,35919829	0,024925073	0,050613733	10064				
16,45141962	0,023244213	0,049798117	10109				
16,5454233	0,026087689	0,049172038	10161				
16,64264442	0,024642344	0,052718909	10209				
16,74199741	0,024539123	0,05533043	10253				
16,84483126	0,024702226	0,059154679	10298				
16,94078657	0,024677533	0,051798453	10346				
17,03534957	0,025371318	0,048963861	10394				
17,13223685	0,02410929	0,053202987	10442				
17,23922037	0,026610339	0,05463883	10490				
17,33850557	0,027863963	0,052154635	10538				
17,43611115	0,025700393	0,051207511	10586				
17,53173413	0,024746787	0,052307774	10634				
17,62551178	0,026624802	0,048776363	10679				
17,72895762	0,024628733	0,060304974	10727				
17,83057909	0,024705314	0,058294648	10771				
17,92758346	0,025133826	0,053462155	10819				
18,01964037	0,024972346	0,047493572	10867				
18,11161718	0,025297082	0,047299778	10915				
18,20996473	0,025353732	0,053530864	10963				
18,30776498	0,02417537	0,049838389	11015				
18,40939695	0,027697885	0,054877636	11067				
18,52359428	0,0460784	0,04855571	11115				
18,6180973	0,024803447	0,050586428	11160				
18,71095559	0,025406467	0,048116794	11208				
18,80946568	0,025637701	0,053831948	11256				
18,90587673	0,024574893	0,052332306	11300				
18,99981821	0,023771581	0,05078399	11348				
19,09136318	0,02407028	0,048431377	11396				
19,18363493	0,024528077	0,047558194	11444				
19,28312288	0,024269185	0,055236208	11496				
19,37830288	0,025069497	0,050088651	11544				
19,48295507	0,030119116	0,054457564	11596				
19,57751991	0,024987863	0,050208511	11644				
19,67223681	0,025174411	0,049686074	11685				
19,76471443	0,025790876	0,047334127	11729				
19,85727321	0,025410883	0,048069442	11774				
19,950562	0,024385238	0,049217654	11822				
20,0474232	0,027979839	0,048535835	11870				
20,14143827	0,024960407	0,049504255	11918				
20,23868914	0,024373585	0,053419448	11962				
20,32964861	0,022924548	0,048737029	12010				
20,42391352	0,025799521	0,048556515	12058				
20,52021246	0,02684492	0,050057949	12106				
20,61429285	0,023890685	0,050857827	12154				
20,70837993	0,024027251	0,049897022	12202				
20,80152135	0,024023234	0,049714082	12250				
20,89542008	0,024804996	0,049533639	12298				
20,99239533	0,024302891	0,051306988	12346				
21,09022468	0,023890792	0,052851617	12394				
21,18247406	0,023994255	0,048084578	12435				
21,28092868	0,024937127	0,051362165	12483				
21,38193333	0,023973362	0,057131577	12531				
21,47701519	0,023721931	0,051578024	12583				
21,60817128	0,061817343	0,04922933	12631				
21,70761516	0,026889222	0,052928544	12679				
21,82272618	0,025322352	0,054501798	12731				
21,92090012	0,025775957	0,05203917	12779				
22,01954551	0,025092699	0,054215909	12823				
22,11681595	0,024016386	0,052942896	12868				
22,21981783	0,024074641	0,056185556	12916				
22,31953929	0,025421211	0,051349934	12956				
22,41583073	0,025278847	0,050549275	13008				
22,50925577	0,023392662	0,050035622	13052				
22,60643338	0,026200493	0,050430066	13096				
22,70245752	0,023951795	0,051307309	13144				
22,80581275	0,027319477	0,055830816	13189				
22,90474596	0,024688704	0,054020817	13237				
23,00010216	0,023721138	0,051012094	13285				
23,09696488	0,024946545	0,051666191	13333				
23,19182253	0,024099183	0,050833929	13381				
23,29864413	0,024596631	0,054672128	13433				
