Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers		Initial execution	32,3100503	47757
1,409677555	0,09781946	0,098886325	47845				
1,614037053	0,06817663	0,098667215	47905				
1,777597655	0,052004659	0,073414156	47964				
1,955931594	0,066508864	0,070048705	48012				
2,139398782	0,061327899	0,077138514	48071				
2,317126836	0,054358501	0,075797878	48132				
2,484668207	0,055052727	0,067340482	48180				
2,637368798	0,051031486	0,058724221	48221				
2,804502337	0,05453696	0,068054888	48265				
2,98921535	0,062844128	0,081143445	48325				
3,161784245	0,056605937	0,076430416	48381				
3,339678496	0,055368701	0,080718414	48438				
3,528103904	0,065921506	0,079665599	48489				
3,709915533	0,053769858	0,087575374	48544				
3,903214066	0,055673241	0,098492187	48607				
4,061591496	0,050780003	0,069061465	48648				
4,228118847	0,052441311	0,061233357	48689				
4,379750645	0,053685773	0,055168666	48726				
4,564888356	0,0516339	0,084810061	48785				
4,726647726	0,056437308	0,062821003	48829				
4,906828669	0,055892666	0,078745523	48888				
5,065900544	0,051599806	0,059563707	48932				
5,225331261	0,05733907	0,059088312	48973				
5,426385848	0,067719203	0,082986011	49028				
5,607837913	0,055028072	0,079129004	49087				
6,144455224	0,098039087	0,090463562	49142				
6,390307386	0,09511027	0,093737682	49202				
6,623156038	0,100665143	0,065031351	49250				
6,847994282	0,093199685	0,06988343	49295				
7,089685584	0,090960613	0,084670824	49347				
7,301270378	0,083634854	0,06689119	49387				
7,520675013	0,086465474	0,070910856	49427				
7,731372393	0,080980542	0,07223935	49475				
7,958085342	0,088635627	0,070319278	49520				
8,23383979	0,124020723	0,077632555	49564				
8,521924121	0,136898717	0,069011621	49609				
8,779021212	0,088491028	0,098246725	49672				
8,993344799	0,082760443	0,068659537	49713				
9,233137711	0,086228662	0,092917585	49773				
9,450746025	0,085974752	0,070600538	49814				
9,724959779	0,116993371	0,085294118	49869				
9,993724492	0,121350547	0,069362852	49917				
10,25819345	0,121157431	0,068277916	49962				
10,51372374	0,111566171	0,069873292	50002				
10,76343844	0,094081655	0,086598579	50065				
11,00389254	0,10036494	0,070310166	50106				
11,23273961	0,093743959	0,071320846	50146				
11,46757976	0,106552157	0,066556391	50191				
11,69795046	0,102973021	0,065879179	50232				
11,96276663	0,117287996	0,079715856	50272				
12,20954295	0,10847178	0,071744781	50308				
12,44358099	0,103496869	0,065589198	50352				
12,70440415	0,119770828	0,071858021	50396				
12,94373215	0,103378405	0,063110075	50437				
13,17879104	0,102268947	0,063873268	50478				
13,39571444	0,087018355	0,070183919	50522				
13,62475422	0,100264737	0,067806636	50563				
13,89148794	0,097389615	0,102281268	50623				
14,12339637	0,092739112	0,074935822	50664				
14,34372555	0,090075976	0,069659879	50705				
14,58153048	0,103611553	0,068740965	50746				
14,83864416	0,115268426	0,070417931	50790				
15,09011075	0,102907484	0,066493543	50831				
15,35963354	0,125122642	0,070726448	50875				
15,6079806	0,097498707	0,067149347	50916				
15,82312838	0,084984326	0,070483294	50960				
16,07325364	0,100360275	0,073053802	51001				
16,31288872	0,094652161	0,075768498	51049				
16,5262146	0,082078135	0,067849984	51094				
16,75171321	0,092221587	0,071134799	51134				
16,99458285	0,097097569	0,074636007	51179				
17,2402734	0,100010075	0,0779396	51224				
17,49081468	0,096403144	0,078459761	51268				
17,71215896	0,08127996	0,068549561	51312				
17,95528522	0,104946851	0,071042369	51353				
18,18897498	0,090535211	0,075769609	51398				
18,44949083	0,12079611	0,074755577	51442				
18,73550911	0,09866502	0,094506472	51483				
18,99940432	0,115699302	0,069409938	51523				
19,23849426	0,101873075	0,070940931	51564				
19,46892872	0,085950639	0,082391937	51605				
19,68490534	0,087359196	0,066358475	51649				
19,92871	0,108938784	0,07169803	51693				
20,18433753	0,095058345	0,072463184	51734				
20,41350481	0,088539899	0,068547233	51778				
20,64475857	0,090176459	0,07325264	51822				
20,87243627	0,088251605	0,07262429	51866				
21,14320339	0,120862095	0,07398489	51911				
21,36915687	0,08956055	0,067306844	51952				
21,62445971	0,108687594	0,081260615	52000				
21,87791935	0,105558391	0,0705795	52044				
22,15110154	0,116476849	0,070907731	52085				
22,41475071	0,104950809	0,09277023	52130				
22,63828342	0,080504032	0,064856531	52170				
22,8615658	0,087903743	0,071551576	52211				
23,10274872	0,102830779	0,068514803	52256				
23,34348604	0,108280359	0,068958776	52297				
23,56415861	0,085445117	0,070431408	52341				
23,79605628	0,084414254	0,0669213	52385				
24,04250451	0,09704691	0,076045002	52433				
24,2922711	0,113420349	0,068902259	52474				
24,54883912	0,113122007	0,06745459	52519				
24,84276167	0,140155126	0,072846513	52563				
25,0701262	0,08492451	0,079565019	52604				
25,2857035	0,083562808	0,068605319	52652				
25,50517097	0,092341418	0,065751395	52693				
25,72755719	0,083074001	0,071892967	52734				
25,99019158	0,120115776	0,074115196	52778				
26,20322497	0,083233373	0,070163053	52826				
26,44178869	0,103646368	0,076310467	52867				
26,66992624	0,083867006	0,078494046	52912				
27,03121324	0,234007288	0,066674194	52953				
27,27118749	0,105859546	0,064078878	53001				
27,49536991	0,093672889	0,064984909	53042				
27,74449197	0,112735481	0,069315052	53087				
27,97960999	0,091751639	0,070878856	53135				
28,20246515	0,088767516	0,070053592	53176				
28,44476898	0,088323371	0,070724738	53220				
28,68071315	0,106317765	0,066783221	53264				
28,90786359	0,090020038	0,070524778	53305				
29,17193358	0,129381804	0,069759258	53342				
29,38624286	0,084758316	0,068568498	53383				
29,65996515	0,134868729	0,068323109	53423				
29,95855912	0,133409645	0,079423938	53471				
30,20677838	0,087446803	0,087494614	53515				
30,46052561	0,102681546	0,074717744	53560				
30,69399652	0,091890968	0,072222762	53601				
30,92493273	0,090818195	0,072645736	53642				
31,16043884	0,088273069	0,076900147	53682				
31,38592015	0,096754753	0,068368796	53723				
31,6192649	0,099421878	0,072669407	53768				
31,84652442	0,092967175	0,069031765	53812				
