Number of individuals;String cleaning time
146;9.588999091647565e-06
147;8.820999937597662e-06
148;8.88499926077202e-06
149;8.895000064512715e-06
150;9.586001397110522e-06
151;8.726001397008076e-06
152;9.000999853014946e-06
153;1.612299820408225e-05
154;1.1748001270461828e-05
155;1.2201002391520888e-05
156;1.2364998838165775e-05
157;1.1252999684074894e-05
158;1.0148000001208857e-05
159;1.0038002073997632e-05
160;1.0513002052903175e-05
161;1.0922998626483604e-05
162;9.909002983476967e-06
163;9.258998034056276e-06
164;9.243998647434637e-06
165;9.106999641517177e-06
166;9.225997928297147e-06
167;1.624599826755002e-05
168;1.0022999049397185e-05
169;9.506002243142575e-06
170;1.0101997759193182e-05
171;9.069000952877104e-06
172;9.242001397069544e-06
173;8.857998182065785e-06
174;9.766998118720949e-06
175;9.00499799172394e-06
176;1.0363997716922313e-05
177;9.195999155053869e-06
178;9.90899934549816e-06
179;9.962001058738679e-06
180;8.57499981066212e-06
181;9.581999620422721e-06
182;9.708001016406342e-06
183;9.067000064533204e-06
184;9.071001841221005e-06
185;9.138002496911213e-06
186;9.069000952877104e-06
187;9.330000466434285e-06
188;9.326002327725291e-06
189;8.753999281907454e-06
190;1.0389998351456597e-05
191;9.125000360654667e-06
192;9.244002285413444e-06
193;1.0455998562974855e-05
194;9.993000276153907e-06
195;9.63400088949129e-06
196;9.372000931762159e-06
197;9.508999937679619e-06
198;9.819999831961468e-06
199;9.782001143321395e-06
200;9.259001672035083e-06
201;9.7699994512368e-06
202;1.0943997040158138e-05
203;1.0129999282071367e-05
204;1.0587998986011371e-05
205;9.703002433525398e-06
206;8.977000106824562e-06
207;9.921001037582755e-06
208;9.530998795526102e-06
209;1.0021998605225235e-05
210;8.897997759049758e-06
211;8.930001058615744e-06
212;9.7720003395807e-06
213;9.49500099522993e-06
214;3.3387001167284325e-05
215;1.0244999430142343e-05
216;9.810999472392723e-06
217;8.622999303042889e-06
218;9.403000149177387e-06
219;1.0648000170476735e-05
220;1.0028001270256937e-05
221;9.36000287765637e-06
222;9.485000191489235e-06
223;9.720999514684081e-06
224;9.759001841302961e-06
225;8.798000635579228e-06
226;1.5353998605860397e-05
227;1.0848998499568552e-05
228;1.0230996849713847e-05
229;9.667000995250419e-06
230;1.0583000403130427e-05
231;1.664600131334737e-05
232;9.794999641599134e-06
233;8.994997187983245e-06
234;1.0021001799032092e-05
235;1.583199991728179e-05
236;1.0201998520642519e-05
237;9.643998055253178e-06
238;8.897997759049758e-06
239;1.0865998774534091e-05
240;8.933002391131595e-06
241;9.417999535799026e-06
242;1.0302999726263806e-05
243;9.642997611081228e-06
244;9.130002581514418e-06
245;9.383998985867947e-06
246;8.676997822476551e-06
247;9.544997737975791e-06
248;8.648999937577173e-06
249;9.027997293742374e-06
250;9.169001714326441e-06
251;9.373998182127252e-06
252;9.89500040304847e-06
253;9.75600050878711e-06
254;9.563998901285231e-06
255;1.0887997632380575e-05
256;9.790997864911333e-06
257;1.020299896481447e-05
