Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers
26,70	5,31E-02	5,80E-02	33044
26,86	5,67E-02	6,13E-02	33088
27,02	5,64E-02	6,13E-02	33136
27,19	5,72E-02	6,29E-02	33180
27,35	5,58E-02	5,81E-02	33228
27,51	6,22E-02	6,09E-02	33272
27,69	6,56E-02	6,07E-02	33317
27,86	6,97E-02	6,06E-02	33357
28,02	5,21E-02	6,66E-02	33402
28,19	5,80E-02	6,55E-02	33450
28,38	7,94E-02	6,29E-02	33494
28,54	5,53E-02	6,22E-02	33538
28,70	5,11E-02	7,10E-02	33583
28,86	5,45E-02	5,77E-02	33631
29,07	8,53E-02	6,52E-02	33672
29,27	7,90E-02	6,89E-02	33717
29,46	6,50E-02	7,37E-02	33761
29,63	5,46E-02	6,17E-02	33809
29,79	5,52E-02	6,17E-02	33854
29,96	5,97E-02	6,86E-02	33898
30,14	5,67E-02	6,87E-02	33939
30,30	5,54E-02	6,42E-02	33979
30,47	6,09E-02	6,17E-02	34020
30,66	5,60E-02	8,33E-02	34079
30,83	6,28E-02	6,73E-02	34124
30,99	5,66E-02	5,65E-02	34160
31,16	6,02E-02	5,97E-02	34201
31,33	5,67E-02	7,20E-02	34245
31,53	8,43E-02	6,43E-02	34293
31,73	7,24E-02	6,36E-02	34337
31,91	5,99E-02	6,49E-02	34381
32,15	8,41E-02	9,00E-02	34422
32,37	8,33E-02	6,42E-02	34466
32,57	7,33E-02	6,74E-02	34506
32,73	5,88E-02	6,31E-02	34547
32,92	6,55E-02	6,48E-02	34592
33,09	5,25E-02	6,55E-02	34636
33,26	4,89E-02	7,06E-02	34680
33,40	4,36E-02	6,33E-02	34725
33,57	5,70E-02	6,12E-02	34773
33,73	5,40E-02	6,24E-02	34814
33,90	5,45E-02	7,71E-02	34858
34,07	5,60E-02	6,66E-02	34902
34,26	5,66E-02	8,11E-02	34947
34,42	5,32E-02	6,69E-02	34991
34,58	5,38E-02	6,28E-02	35035
34,75	5,96E-02	6,50E-02	35080
34,92	5,25E-02	7,07E-02	35128
35,09	5,58E-02	6,44E-02	35173
35,26	5,86E-02	6,72E-02	35218
35,43	5,56E-02	6,40E-02	35266
35,59	5,39E-02	6,15E-02	35310
35,75	5,25E-02	6,64E-02	35351
35,93	5,60E-02	7,11E-02	35399
36,12	5,24E-02	7,15E-02	35440
36,29	5,12E-02	8,15E-02	35484
36,46	5,29E-02	7,31E-02	35532
36,64	6,21E-02	7,22E-02	35577
36,81	5,06E-02	7,20E-02	35622
36,99	5,49E-02	7,05E-02	35663
37,16	5,11E-02	7,38E-02	35707
37,33	5,33E-02	7,41E-02	35751
37,49	5,41E-02	6,84E-02	35796
37,66	5,42E-02	6,86E-02	35837
37,83	5,09E-02	6,74E-02	35885
38,00	6,23E-02	7,06E-02	35929
38,17	5,26E-02	6,81E-02	35974
38,36	5,15E-02	9,15E-02	36037
38,53	6,11E-02	6,52E-02	36078
38,68	5,19E-02	6,03E-02	36122
38,84	5,51E-02	5,88E-02	36170
39,00	5,44E-02	5,91E-02	36211
39,17	5,18E-02	5,84E-02	36252
39,33	5,55E-02	6,38E-02	36300
39,51	5,76E-02	6,46E-02	36344
39,67	5,33E-02	6,23E-02	36392
39,82	5,58E-02	5,64E-02	36429
40,00	7,54E-02	5,86E-02	36477
40,16	6,12E-02	5,65E-02	36521
40,35	5,91E-02	8,49E-02	36566
40,50	5,19E-02	5,77E-02	36611
