Parsing time	Functional matching time	Corpus time	Semantic matching time	Syntactic matching time	Ordering time	QoS matching time	SP matching time	Total matching time
0,0016737	2,536623629	0,003071398	2,119037378	0,370243508	0,006490684	0,031666148	0,012874616	2,592008567
0,001641956	5,222365348	0,003136559	4,840730396	0,342453132	0,004293521	0,009636398	0,003040973	5,243188311
0,001543749	4,962512088	0,003045193	4,584836446	0,33879714	0,004220025	0,013507478	0,002954316	4,987550943
0,001585379	2,430817473	0,003081355	2,052529355	0,337899913	0,00453165	0,006279984	0,003551871	2,450558753
0,001609827	4,373220044	0,003035663	3,990836259	0,34107779	0,004931231	0,025079273	0,005489153	4,414947582
0,001446134	7,168218099	0,003227888	6,772946419	0,354958228	0,004816327	0,00840665	0,002938016	7,18740781
0,001519691	2,35236558	0,003336406	1,976429932	0,334899017	0,004466411	0,005791462	0,003094758	2,371563345
0,002109122	6,275881484	0,003074708	5,902225784	0,334570969	0,004418142	0,010471847	0,003342038	6,299075719
0,001703131	5,030746809	0,003255531	4,643244495	0,346710291	0,004537723	0,004685437	0,002632051	5,047070516
0,001696255	4,669584194	0,003407932	4,285415189	0,342979328	0,004672843	0,0169839	0,005585316	4,705825043
0,001617835	3,677772261	0,003106369	3,295391378	0,341944055	0,00480094	0,012672986	0,005203449	3,707651308
0,001690466	5,987011491	0,003032426	5,615701025	0,331196602	0,004584089	0,012653203	0,00358388	6,012484749
0,00133088	1,302083078	0,0033169	0,944606162	0,316884212	0,004511663	0,020037358	0,005675187	1,346783675
0,001650457	4,19197551	0,00305969	3,813872298	0,338338314	0,004508228	0,007536712	0,004811268	4,215831056
0,001677993	7,24434869	0,003223539	6,849139598	0,354412494	0,004406171	0,004920473	0,002834221	7,261521584
0,001269614	6,81392579	0,00348624	6,420239717	0,352940533	0,004512947	0,024402761	0,008176934	6,859904255
0,001460415	2,230937242	0,003353166	1,871598186	0,319725614	0,004417939	0,006036943	0,003988777	2,258535225
0,001842921	6,957933097	0,003179574	6,566124235	0,351268736	0,004893811	0,033536721	0,01017106	7,020695428
0,001681846	5,263725382	0,003039065	4,873622126	0,349198631	0,004624308	0,018754088	0,005493067	5,301583736
0,001542526	1,392136412	0,00321187	1,032270325	0,320667442	0,004561557	0,006930872	0,004644877	1,414408233
0,00132771	6,861106095	0,003600834	6,463184487	0,356426739	0,004659374	0,004913406	0,002513624	6,877177315
0,001311288	0,86378317	0,003267503	0,508814635	0,314932826	0,004682229	0,007651976	0,003468122	0,887444933
0,00143306	7,201524776	0,003553114	6,792842999	0,367279323	0,005057072	0,026781925	0,011015868	7,261315886
0,001542206	4,155612348	0,003278316	3,718483889	0,393761789	0,004541686	0,00329224	0,002286257	4,170176679
0,001322384	7,04265259	0,003615434	6,607530393	0,391858392	0,00496606	0,006850155	0,004133909	7,066284314
0,001763356	4,687476729	0,003135339	4,298651073	0,348708613	0,004471293	0,008179562	0,005282673	4,718309257
0,001450017	2,151629309	0,00306573	1,775197232	0,335963471	0,00432378	0,003384767	0,001715659	2,165033731
0,001328275	6,708712262	0,003260943	6,318459542	0,349676224	0,004696947	0,014936584	0,006387981	6,749554701
0,001550139	4,559147233	0,00311034	4,176299132	0,342747799	0,004333141	0,00462228	0,002849924	4,575916971
0,001236216	3,070658677	0,003219557	2,692301404	0,33844588	0,004327058	0,004274178	0,002104187	3,083585169
0,001256733	3,659828448	0,003757976	3,277904921	0,341562851	0,0045872	0,01641828	0,005018904	3,693175306
0,001736613	4,318732439	0,003153481	3,930959317	0,347123597	0,004761021	0,015824996	0,00497107	4,356528402
0,001282661	4,030416397	0,003318355	3,644159927	0,346074507	0,004318282	0,009651682	0,003342951	4,057213322
0,001635154	1,170851722	0,003257612	0,812360308	0,31551278	0,007315546	0,006685476	0,003878739	1,192748491
0,001348262	6,779535842	0,003174167	6,388569747	0,350188348	0,004845331	0,014050588	0,005999001	6,815457542
0,00163687	4,187173345	0,003155364	3,811846587	0,335013638	0,004537192	0,004266426	0,00250405	4,202735582
0,001316029	6,644975505	0,003240838	6,248759454	0,355351642	0,004556751	0,003861539	0,002133516	6,658940577
0,001425665	1,181063034	0,003210623	0,814811208	0,326104107	0,004388295	0,006755315	0,003866406	1,202622996
0,00134985	3,670839442	0,003059937	3,286824929	0,343644184	0,004495054	0,007117099	0,003106525	3,691962365
0,001489391	6,485615242	0,003683901	6,107148594	0,335784581	0,006225286	0,0079968	0,004263928	6,511460394
0,001272742	2,395067264	0,003310543	2,017803334	0,336108211	0,004555762	0,006060271	0,003253468	2,413587317
0,002265011	1,259696096	0,005920401	0,894752422	0,32066068	0,004338748	0,004825169	0,003004427	1,276570343
0,001282285	6,845932194	0,003247614	6,447372874	0,357409648	0,005050451	0,011248853	0,006490354	6,879631277
0,001471565	4,808320009	0,003132237	4,438963487	0,330214637	0,004270361	0,004421145	0,002300521	4,82283505
0,001295629	4,747407829	0,003220758	4,367091486	0,340347772	0,004310246	0,004506342	0,002587046	4,763875209
0,001512826	4,487543472	0,003205791	4,107714038	0,339244937	0,004437192	0,004294614	0,00217706	4,508841672
0,001401927	4,354035707	0,003247533	3,988179993	0,324768517	0,004631075	0,005664145	0,00335171	4,39942625
0,001358344	6,667883695	0,003489094	6,2859884	0,341016791	0,004708671	0,011503567	0,006750542	6,699718872
0,001791799	3,772489677	0,003203312	3,370268757	0,352874266	0,008515482	0,010019082	0,003942152	3,801694239
0,001551215	6,310921017	0,003332459	5,939347386	0,331998694	0,004558842	0,003952421	0,002758482	6,326438308
0,001472322	2,568183428	0,003211048	2,189085349	0,336107553	0,005028173	0,005909653	0,003247782	2,592728797
0,001388119	3,517646819	0,003419074	3,145125555	0,332681126	0,004389274	0,003505657	0,001923986	3,530598831
0,002377537	4,324469833	0,003030399	3,958871773	0,326481676	0,004410847	0,005516994	0,003780869	4,344361767
0,002779547	4,46772754	0,003421999	4,092590003	0,335298941	0,00430457	0,004297028	0,002104531	4,487371388
0,001203865	0,820139479	0,00325378	0,481357697	0,300212218	0,004302876	0,009113363	0,003371025	0,839325435
0,001163429	3,933638706	0,003226127	3,559676181	0,332436927	0,006283252	0,006826263	0,004829263	3,962741692
0,001546856	4,371368233	0,003297732	3,989465986	0,340985533	0,004774726	0,009985188	0,004228613	4,39796404
