Parsing time	Functional matching time	Corpus time	Semantic matching time	Syntactic matching time	Ordering time	QoS matching time	SP matching time	Total matching time
0,000493671	3,118061182	0,019807286	0,004986893	3,026946665	0,000290461	0,010148054	0,005631406	3,151261361
0,000330074	3,111178593	0,021633199	0,004997778	3,020004165	0,000193469	0,005761029	0,003345334	3,132906203
0,00032582	3,07284913	0,021208982	0,005191564	2,981991556	0,000646623	0,028028316	0,014118102	3,144671656
0,000337759	3,095530751	0,021002275	0,005060108	3,003672752	0,000380226	0,014887058	0,003521928	3,126274869
0,0004637	3,090816455	0,019536473	0,005407304	3,001265877	0,000693788	0,035051589	0,00788756	3,163162731
0,000331685	3,100804771	0,021209989	0,005023343	3,009701518	0,000189299	0,005470715	0,002225617	3,11951607
0,000433792	3,115615164	0,019752372	0,005416738	3,025943408	0,000127415	0,002313893	0,00088002	3,124106976
0,00035141	3,099272856	0,02002404	0,005284144	3,008981189	0,00012449	0,002950557	0,001989729	3,112371421
0,000355579	3,102388837	0,021441928	0,005313196	3,010069694	0,000686033	0,029112992	0,015265211	3,193337266
0,000365674	3,116728044	0,020799837	0,005087338	3,0259578	0,000110527	0,002147032	0,001308935	3,127271087
0,000347898	3,103901552	0,020675744	0,004961242	3,012875366	0,000318964	0,010973974	0,006130981	3,13982544
0,000343313	3,085036221	0,021851847	0,005005258	2,993934141	0,000122051	0,002791667	0,001052805	3,095314523
0,000340988	3,160595106	0,088626236	0,005042405	3,00336297	0,000200518	0,006746068	0,001244717	3,176161147
0,000354458	3,099845948	0,020905588	0,005076525	3,009388467	0,000107553	0,002085548	0,000857063	3,107244555
0,000330659	3,112371814	0,019964051	0,00530095	3,022490048	0,000412461	0,012896327	0,005104902	3,144298775
0,000448724	3,122722368	0,018919876	0,005282205	3,033913369	0,000258451	0,009017546	0,003450643	3,150594342
0,000341439	3,104465777	0,020996153	0,005290153	3,01317265	0,000491439	0,02145082	0,006639606	3,1521538
0,000342618	3,087654096	0,021894477	0,004945653	2,996946359	0,000117266	0,002392307	0,000788351	3,095307996
0,000364208	3,105418927	0,021171186	0,005224378	3,013785723	0,000709206	0,032677559	0,01474769	3,188810058
0,000354159	3,115853766	0,021318679	0,005061672	3,024331923	0,000437792	0,017070217	0,008454933	3,161057496
0,000336831	3,110773463	0,020555307	0,005219473	3,019953589	0,000432631	0,01746485	0,009400604	3,160047432
0,000331127	3,102724097	0,020888083	0,005077857	3,012663382	0,000494292	0,021177403	0,006075176	3,148319441
0,000337267	3,18268798	0,020971696	0,005173572	3,090562968	0,000345897	0,013025291	0,007084952	3,219417236
0,000436047	3,103352829	0,019557445	0,005379763	3,012524201	0,000430213	0,017582693	0,009356607	3,151234587
0,000347843	3,113786252	0,020913339	0,004997248	3,022675083	0,00049638	0,02237567	0,005920017	3,161789205
0,00033182	3,115302892	0,021351594	0,005114115	3,023564406	0,000597245	0,026565225	0,009858389	3,180058613
0,000483803	3,089556997	0,020024904	0,005104777	3,000138914	0,000496444	0,021139727	0,003047368	3,129230625
0,000355045	3,107198655	0,021291223	0,005001751	3,014564841	0,000646604	0,029180969	0,01466422	3,188258006
0,000335298	3,107975845	0,020725522	0,005034654	3,01776354	0,000108424	0,001929578	0,001340788	3,11750265
0,000338005	3,132806414	0,0215524	0,005242793	3,040826171	0,000350435	0,014075846	0,003650717	3,162533611
0,000349879	3,116380746	0,020995659	0,00517319	3,024769867	0,000556258	0,020070674	0,007447182	3,169023761
0,00043605	3,10969166	0,021498538	0,005246038	3,01786622	0,000521941	0,023678935	0,011861811	3,181771307
0,000346791	3,108647891	0,020850536	0,005035087	3,018641917	0,000455551	0,01889464	0,008580475	3,156171718
0,00035014	3,120513177	0,021813775	0,00504567	3,028621964	0,000104511	0,001974476	0,001050399	3,129475728
0,000346883	3,137470611	0,021263027	0,005230632	3,044764019	0,000127956	0,002602614	0,001664417	3,149171431
0,000355799	3,111946257	0,021504363	0,005109091	3,020521414	0,000160327	0,004260511	0,002461175	3,130019719
0,000445709	3,117898752	0,020473996	0,00531164	3,026990089	0,000519798	0,021777929	0,000891821	3,153497973
0,000342623	3,132111797	0,020653331	0,005164269	3,041847369	0,000122593	0,002894297	0,001434938	3,143379361
