Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers				
7,046678439	0,680704257	0,104241722	211273		0	0	211192
7,357937921	0,105580843	0,079511065	211324		Initial execution	49,56330903	
7,625813244	0,075339002	0,082031804	211379				
7,882096868	0,071024537	0,076776184	211435				
8,145322483	0,070047214	0,08880641	211491				
8,451438322	0,114913646	0,082829919	211547				
8,713041778	0,071318597	0,079693255	211598				
8,970023458	0,069746214	0,078387041	211654				
9,24106998	0,072768726	0,08610794	211710				
9,499022977	0,07103639	0,077285238	211765				
9,763929552	0,071879204	0,082655652	211820				
10,02327972	0,074586418	0,073672451	211871				
10,26715479	0,070955576	0,058732168	211911				
10,50510023	0,072251938	0,056445618	211951				
10,7637828	0,069048976	0,082300289	212002				
11,03789815	0,070153966	0,089024094	212057				
11,30018929	0,071211283	0,079860536	212108				
11,55856592	0,068433091	0,078529061	212163				
11,81406901	0,071384872	0,077835216	212219				
12,07105174	0,07097539	0,070256582	212275				
12,3288409	0,07031891	0,077356553	212326				
12,59687719	0,071101259	0,09070541	212381				
12,84236347	0,068690138	0,068325075	212421				
13,10041043	0,070079346	0,077647912	212476				
13,37248952	0,072985119	0,092578007	212527				
13,6300116	0,06908613	0,080461004	212582				
13,88671011	0,075059424	0,071540106	212633				
14,1411672	0,069236642	0,072831146	212684				
14,41046665	0,072790084	0,084343898	212740				
14,77647813	0,136148726	0,082253937	212795				
15,05982545	0,113886856	0,053943216	212832				
15,33055342	0,083050152	0,078376389	212887				
15,60507864	0,083985577	0,079586006	212938				
16,05559589	0,243847603	0,100212528	212994				
16,32849851	0,092203589	0,071652585	213046				
16,59048757	0,095207163	0,054793537	213082				
16,84658084	0,087929967	0,057812724	213119				
17,1193947	0,090845361	0,070110905	213171				
17,40211455	0,085987612	0,080892449	213223				
17,68916007	0,088587355	0,087487359	213279				
17,97616469	0,08640247	0,090600537	213334				
18,23239773	0,087246358	0,058161166	213370				
18,51064943	0,086303661	0,083883339	213426				
18,78708487	0,084653751	0,081046305	213481				
19,06571779	0,087031492	0,076947001	213537				
19,34010223	0,086835563	0,077241858	213593				
19,64687771	0,12315666	0,068650783	213644				
19,90604279	0,081302187	0,069886897	213695				
20,15172038	0,082406471	0,05347056	213731				
20,43463409	0,089753619	0,076981563	213786				
20,71046931	0,080216257	0,086725832	213841				
20,98847588	0,083867009	0,084522719	213897				
21,27050428	0,080925593	0,086480402	213948				
21,5254635	0,080491141	0,063724278	213989				
21,80975319	0,083648396	0,084451672	214044				
22,08417175	0,080475536	0,083067093	214096				
22,50419349	0,083703997	0,226383345	214133				
22,77439694	0,08813366	0,072902838	214174				
23,05932474	0,083547312	0,079539603	214225				
23,35098996	0,078125678	0,103908154	214281				
23,62353922	0,077516161	0,082716337	214332				
23,87565021	0,078235663	0,06392847	214369				
