Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers				
0,655615303	0,058677177	0,153894504	1286		0	0	1118
0,847404036	0,031730578	0,143562458	1375		Initial execution	10,10610595	
0,984616084	0,025897116	0,095074785	1466				
1,137129609	0,02559224	0,110057321	1549				
1,257795841	0,026100731	0,077041851	1622				
1,353863049	0,025559815	0,053616111	1684				
1,47045232	0,024234257	0,076933136	1757				
1,573294008	0,024273117	0,062262365	1810				
1,721424326	0,023724136	0,108064357	1862				
1,885004234	0,025126245	0,12187062	1932				
2,052904288	0,032250929	0,118596934	2008				
2,234772277	0,024825815	0,141591144	2073				
2,397788547	0,033483978	0,114510615	2136				
2,544210522	0,023903838	0,107518333	2202				
2,667500825	0,024110345	0,084246339	2270				
2,80087688	0,025019407	0,093120243	2340				
2,955101733	0,025412133	0,112578759	2409				
3,08849745	0,025229356	0,092516918	2479				
3,194889975	0,028955396	0,061947248	2531				
3,307952926	0,024174691	0,073823232	2600				
3,408519099	0,024110875	0,058571266	2652				
3,507307118	0,024363653	0,058660391	2704				
3,623713614	0,023891208	0,077282414	2773				
3,729205794	0,033977926	0,055766954	2825				
3,852041913	0,026170889	0,081157806	2893				
3,981110004	0,026356984	0,08584944	2961				
4,091506172	0,025810015	0,068296929	3013				
4,186700277	0,024797437	0,053726233	3065				
4,280001605	0,024604806	0,052662792	3117				
4,389954055	0,028088103	0,061553613	3165				
4,49593733	0,024945514	0,064597457	3217				
4,587938345	0,025315146	0,049195718	3265				
4,686499796	0,025848047	0,056048464	3313				
4,782618761	0,024505288	0,055429463	3365				
4,889175782	0,035766411	0,054137759	3413				
4,984873039	0,024339072	0,054927138	3465				
5,076955581	0,02457898	0,051690362	3517				
5,1649149	0,024373621	0,047436605	3569				
5,251602682	0,024417681	0,046034988	3617				
5,351938696	0,024010692	0,060443696	3665				
5,445628583	0,024134092	0,051944561	3713				
5,53543206	0,026441374	0,046555648	3765				
5,650595854	0,024220629	0,074213879	3829				
5,753513582	0,024544134	0,062687869	3881				
5,849487769	0,024580757	0,054080704	3933				
5,950196675	0,033181797	0,051016726	3981				
6,039957853	0,024601219	0,047632587	4033				
6,144856366	0,025751743	0,059583604	4078				
6,231517377	0,02481678	0,046330872	4130				
6,316655804	0,025470458	0,04363632	4178				
6,408321295	0,025266293	0,050690268	4230				
6,496637879	0,024594711	0,048182719	4282				
6,592452512	0,025065506	0,054461639	4330				
6,714841372	0,024709548	0,081558645	4382				
6,825484646	0,026131825	0,066387689	4449				
6,941635485	0,025097179	0,075241537	4518				
7,044147152	0,034456107	0,051250857	4566				
7,143247704	0,024847997	0,057373999	4618				
7,244320188	0,024817348	0,059010088	4662				
7,351453777	0,025424642	0,065340603	4714				
7,442317707	0,024855304	0,04848109	4766				
7,540638364	0,024676408	0,056601034	4814				
7,633765789	0,025138729	0,051445298	4866				
7,732945415	0,024120539	0,057122118	4918				
7,829286364	0,026336799	0,052853859	4966				
7,922489624	0,02567524	0,050790781	5014				
8,019046564	0,024586957	0,055190225	5063				
8,136524621	0,033426977	0,06680343	5115				
8,292175476	0,023824173	0,115127602	5163				
8,493203849	0,024560605	0,159680995	5226				
8,635922718	0,024294058	0,100978304	5274				
8,782903776	0,026122772	0,104155684	5337				
8,930606269	0,024069069	0,107287346	5389				
9,06481616	0,02487976	0,09288538	5449				
9,178647588	0,02475975	0,071477249	5493				
9,287914186	0,024223344	0,068112268	5545				
9,408042126	0,023634176	0,079457783	5593				
9,5191268	0,02423874	0,070522375	5645				
9,645178501	0,033795409	0,075674509	5693				
9,759243096	0,024210017	0,073123507	5741				
9,879430492	0,033941511	0,069287071	5793				
9,983330257	0,023770633	0,063234405	5837				
10,11242137	0,023761239	0,08898191	5889				
10,23782889	0,025009873	0,083357999	5941				
10,34500937	0,022985968	0,06743446	5989				
10,46876043	0,024339083	0,082441968	6037				
10,58231601	0,023683228	0,073484043	6085				
10,6970133	0,024444215	0,073236154	6137				
10,80646189	0,025894581	0,066316316	6185				
10,92494739	0,034846394	0,066491041	6233				
11,03741285	0,024772244	0,071337795	6285				
11,13818238	0,027361597	0,05620868	6337				
11,24325631	0,024362938	0,063385914	6385				
11,35877247	0,024882549	0,071890119	6437				
11,47694515	0,02442699	0,075963018	6485				
11,56574617	0,023847977	0,046026522	6537				
11,68441715	0,024500008	0,077709455	6585				
11,7899826	0,024758403	0,062999273	6630				
11,89818296	0,025715336	0,064905792	6675				
11,99670903	0,024407657	0,057319271	6727				
12,09748345	0,03284377	0,051268907	6779				
12,19991908	0,024657586	0,059072604	6824				
12,29582088	0,024399488	0,054318042	6872				
12,38602469	0,02392407	0,049227309	6924				
12,47759562	0,024976755	0,049911079	6972				
12,57328356	0,024528474	0,053517415	7020				
12,66717854	0,024918734	0,051816114	7068				
12,7526568	0,023673515	0,044377187	7120				
12,84683448	0,024861284	0,052266548	7168				
12,93506253	0,025635914	0,044523714	7212				
13,0273929	0,023926049	0,050506215	7264				
13,21722018	0,114419205	0,058140104	7308				
13,31921864	0,026726252	0,054615743	7356				
13,41928341	0,024232001	0,058006756	7404				
13,51441846	0,025131	0,05277535	7452				
13,62408124	0,024199792	0,068479091	7500				
13,71814342	0,023671673	0,053591061	7552				
13,82210442	0,027438526	0,059011773	7600				
13,91745261	0,024661305	0,052497671	7648				
14,00844752	0,026879842	0,045594091	7697				
14,09896921	0,025149534	0,046943123	7745				
14,18868362	0,024586268	0,047539897	7786				
14,28663109	0,025785777	0,053636808	7838				
14,38368287	0,028515693	0,049901912	7886				
14,48081329	0,026454434	0,05148463	7934				
14,57266121	0,025033884	0,048442577	7982				
14,67050467	0,025222962	0,054608133	8030				
14,78304778	0,025034061	0,068546629	8078				
14,87874206	0,025168895	0,05184132	8126				
14,97291724	0,025803423	0,048357704	8174				
15,0670186	0,025340335	0,050651546	8222				
15,16372807	0,025001179	0,05398629	8274				
15,26085781	0,024581044	0,053200859	8323				
15,35451167	0,030261925	0,045266172	8371				
15,45631832	0,027914893	0,053875994	8423				
15,54634906	0,025206746	0,046956988	8471				
15,63835413	0,024449266	0,049788674	8523				
15,72761606	0,024454819	0,044887131	8571				
15,83179377	0,026165054	0,059864072	8623				
15,92727079	0,026018418	0,050936479	8675				
16,02291871	0,025128836	0,052060226	8720				
16,11510149	0,024871766	0,049241218	8764				
16,21290222	0,031532063	0,047612784	8816				
16,30661653	0,025781462	0,04814539	8864				
16,40459288	0,027972816	0,050648485	8912				
16,5072114	0,033607887	0,049254312	8960				
16,60042709	0,025332291	0,047719051	9012				
16,69690214	0,02609797	0,052014805	9064				
16,79271254	0,027189927	0,049487444	9112				
16,89030536	0,025772159	0,05223784	9164				
16,98027367	0,024358425	0,046885834	9208				
17,07322231	0,026092752	0,048122073	9253				
17,18015292	0,025958203	0,061809087	9301				
17,27674859	0,024567494	0,052031243	9349				
17,3687431	0,02464149	0,048799292	9397				
17,46673866	0,025029083	0,053725589	9445				
17,5738223	0,034117638	0,052452336	9493				
17,6615403	0,024221797	0,044605154	9541				
17,75610509	0,02558114	0,05071217	9589				
17,84917098	0,026108065	0,047990319	9637				
17,94334929	0,024428099	0,050567804	9685				
18,03187421	0,024606612	0,045216056	9737				
18,1246917	0,02439724	0,047752062	9786				
18,21350453	0,024961063	0,044975809	9830				
18,30050546	0,024201989	0,043874999	9878				
18,39525878	0,024001449	0,052130832	9926				
18,49036293	0,024132314	0,049938405	9978				
18,59689879	0,033656544	0,053898078	10026				
18,69402155	0,0248163	0,053650132	10074				
18,79906025	0,025972596	0,060473749	10126				
18,90848987	0,026823587	0,063581951	10174				
19,00172649	0,025001082	0,04981907	10222				
19,09536596	0,023717703	0,051561114	10274				
19,19051001	0,024248847	0,05078631	10322				
19,28319956	0,026053216	0,047295374	10370				
19,38337852	0,023837908	0,053529344	10418				
19,48202921	0,026655721	0,051405548	10462				
19,57666575	0,024229931	0,051102564	10514				
19,68165673	0,03220169	0,053944276	10562				
19,78322089	0,024299024	0,059305231	10610				
19,88544898	0,024131441	0,056396275	10654				
19,99511614	0,024140081	0,066476495	10702				
20,09748428	0,025326255	0,058170392	10750				
20,20323103	0,02436693	0,062172255	10791				
20,29492799	0,024772993	0,047839955	10839				
20,389941	0,025384416	0,050523217	10887				
20,48450535	0,023541249	0,05152358	10939				
20,57248766	0,024413744	0,04435838	10983				
20,67069515	0,025135857	0,053777648	11028				
20,78116339	0,033710443	0,057727729	11076				
20,87483237	0,024703911	0,049080497	11124				
20,96654243	0,024648554	0,047505978	11168				
21,05749236	0,024305139	0,047009603	11213				
21,15912234	0,024715996	0,055564615	11261				
21,25871643	0,026586571	0,05269765	11313				
21,35302161	0,025649524	0,048640043	11357				
21,45379242	0,026797161	0,053196267	11402				
21,54690245	0,025534232	0,047343181	11450				
21,64388603	0,024754082	0,051795097	11498				
21,74253784	0,024240073	0,054427263	11542				
21,85681754	0,029742243	0,06406889	11590				
21,95301436	0,023885729	0,053037242	11635				
22,04540024	0,024567008	0,048721112	11683				
22,13791309	0,024409426	0,048103223	11728				
22,23287586	0,024832977	0,047020208	11780				
22,32450033	0,0256294	0,045848695	11828				
22,42453758	0,02608924	0,053789964	11873				
22,52920468	0,023942906	0,052232981	11917				
22,61520923	0,024659859	0,041635248	11962				
22,71498027	0,024450433	0,055571239	12010				
22,81533842	0,025366313	0,054826189	12058				
22,91772979	0,028393023	0,053400726	12103				
23,02417944	0,025132557	0,058579632	12147				
23,13463848	0,025533489	0,064730621	12195				
23,23825777	0,024627778	0,05713565	12247				
23,32795527	0,025056646	0,043957617	12291				
23,42753098	0,02532817	0,053662059	12336				
23,53552027	0,025423728	0,060280538	12384				
23,62645279	0,023742309	0,047051519	12436				
23,76198258	0,0250343	0,089502199	12484				
23,8657953	0,026739834	0,057114094	12532				
23,95804111	0,024924383	0,047451501	12577				
24,13325093	0,111864468	0,04148089	12625				
24,23048094	0,028733463	0,047589555	12673				
24,32639161	0,024347662	0,049332615	12721				
24,41883238	0,024855162	0,047664951	12769				
24,51124327	0,024289783	0,048526146	12814				
24,61199935	0,024242212	0,055570707	12859				
24,72452313	0,024295344	0,067669818	12907				
24,83867977	0,030136982	0,064057951	12955				
24,93137979	0,025108644	0,04716519	13003				
25,03594204	0,024447315	0,057847948	13047				
25,13275016	0,023771798	0,052314478	13092				
25,22349699	0,025288684	0,044274058	13136				
25,31897459	0,028382504	0,047136026	13177				
25,41157151	0,025976602	0,044167591	13222				
25,50282481	0,024514102	0,046697177	13270				
25,59692099	0,023478047	0,048938122	13318				
25,70168505	0,024801442	0,059067714	13366				
25,80504481	0,025820891	0,054974931	13418				
25,90266503	0,025566693	0,049978551	13466				
26,01123018	0,025407598	0,059968407	13511				
26,09992035	0,024648372	0,043367823	13552				
26,23460272	0,024985188	0,087464064	13592				
26,33696513	0,024019432	0,057692902	13640				
26,43445137	0,029290104	0,045976578	13685				
26,52298058	0,024831803	0,04230035	13726				
26,63734161	0,024892881	0,067523814	13771				
26,74692221	0,025654346	0,061444187	13819				
26,86263152	0,025367107	0,065153883	13867				
26,95144623	0,024208849	0,043469906	13912				
27,0456588	0,025019017	0,046782498	13956				
27,13622873	0,023730419	0,044785178	14004				
27,23317585	0,024257043	0,051315251	14048				
27,32303232	0,024289843	0,04506977	14096				
27,43892983	0,025787779	0,068893417	14144				
27,54374235	0,028041399	0,05562553	14192				
27,65136818	0,023939907	0,063335451	14240				
27,7623429	0,024435539	0,063230246	14288				
27,87415533	0,025228459	0,065456916	14332				
27,98195542	0,024539839	0,061481589	14376				
28,08807353	0,024578439	0,060147816	14421				
28,18523998	0,023863254	0,051713899	14469				
28,29173813	0,026959259	0,053721728	14513				
28,39644866	0,024954703	0,059622892	14561				
28,49816358	0,025405498	0,052954433	14605				
28,62929386	0,026816768	0,08326482	14649				
28,74876551	0,033211833	0,064399042	14697				
28,85180505	0,025001295	0,056527318	14745				
28,96869109	0,024076284	0,070336039	14793				
29,09227322	0,023899076	0,076739453	14845				
29,19687903	0,023971531	0,059136951	14893				
29,34716034	0,026790394	0,094461859	14941				
29,47688978	0,02631095	0,080852944	14989				
29,61205252	0,024003751	0,089817445	15037				
29,73390138	0,024976957	0,07444166	15081				
29,85125879	0,024300999	0,070347978	15122				
29,96876868	0,025283581	0,068749535	15167				
30,08313436	0,033812913	0,056960269	15215				
30,19302846	0,024392951	0,061969284	15263				
30,30868885	0,024669096	0,068775887	15311				
30,41349899	0,02445206	0,055575349	15355				
30,51672785	0,025858142	0,055813042	15403				
30,63171496	0,024296514	0,069181706	15448				
30,73482484	0,025206779	0,054439369	15493				
30,83487904	0,028644929	0,047832196	15541				
30,95658406	0,025329796	0,07278104	15589				
31,07425066	0,02540888	0,06864136	15637				
31,18326651	0,024583023	0,061907621	15685				
31,32774363	0,034989142	0,086785127	15733				
31,45500757	0,025653157	0,077054599	15781				
31,55788403	0,024040617	0,056781177	15829				
31,6660282	0,02396189	0,061662964	15877				
31,76621703	0,024956041	0,052340522	15921				
31,8823396	0,027899565	0,065132632	15966				
31,98952984	0,024148225	0,061339326	16014				
32,10565759	0,024929441	0,069359474	16055				
32,21133228	0,024882339	0,057933307	16103				
32,326269	0,025199641	0,063250652	16144				
32,4496426	0,029031734	0,072884025	16192				
32,56761803	0,033216852	0,062049502	16240				
32,68780376	0,023778015	0,073419164	16284				
32,8067243	0,025100853	0,07026675	16329				
32,91925329	0,025183335	0,064341895	16377				
33,03470293	0,024421831	0,069150802	16421				
33,16083963	0,024446749	0,0797361	16469				
33,26072177	0,023722492	0,052511523	16513				
33,39466546	0,024301544	0,086965928	16557				
33,50581537	0,025294712	0,062266756	16601				
33,6106863	0,025116599	0,058042907	16649				
33,72041653	0,024406639	0,063344046	16693				
33,82475988	0,031839981	0,050022032	16741				
33,93623448	0,026783476	0,061335248	16785				
34,03556103	0,02617037	0,04823845	16830				
34,14258017	0,025882963	0,058080189	16878				
34,25381527	0,025009814	0,063033433	16926				
34,36146871	0,02585997	0,058832372	16974				
34,48858632	0,026472446	0,076899818	17022				
34,61162311	0,02638498	0,072575514	17070				
34,7104777	0,024174496	0,052034363	17118				
34,8156228	0,026161585	0,056260073	17163				
34,9174236	0,025524874	0,052951807	17211				
35,04088646	0,033419506	0,067392163	17263				
35,14998295	0,025537923	0,060237641	17307				
35,26227677	0,025590251	0,05904467	17352				
35,35952536	0,025423857	0,046572993	17400				
35,47488305	0,026119041	0,063812384	17448				
35,58294022	0,025256273	0,05989652	17496				
35,68742528	0,024790225	0,05559893	17544				
35,79814585	0,024716502	0,063503039	17588				
35,8930552	0,025545381	0,044732368	17632				
35,99011148	0,025709244	0,049237776	17676				
36,10363337	0,030998153	0,056362073	17720				
36,2633566	0,080921679	0,055132841	17768				
36,36519182	0,029265798	0,046791108	17809				
36,46615381	0,02506718	0,052892521	17857				
36,56184461	0,025104809	0,04607474	17905				
36,65561829	0,024215893	0,047150721	17957				
36,77260865	0,024671397	0,068158799	18001				
36,88523662	0,024827232	0,063604917	18049				
36,98976526	0,024171443	0,057679026	18097				
37,09434734	0,024248713	0,057445491	18141				
37,19155934	0,024992291	0,049431796	18185				
37,30102813	0,025546787	0,058991966	18229				
37,39749939	0,025474224	0,047012124	18270				
37,50808601	0,028871371	0,05564458	18315				
37,62129243	0,025543804	0,058559581	18359				
37,72596646	0,024854252	0,051385037	18403				
37,83414156	0,0258371	0,058489623	18451				
37,92622233	0,025864543	0,042443788	18495				
38,03210728	0,024939857	0,056267906	18543				
38,12889054	0,024080879	0,049157791	18587				
38,22062264	0,023730606	0,045520424	18631				
38,32190302	0,024648049	0,051646872	18676				
38,42065644	0,025765765	0,050758942	18724				
38,52600008	0,024820683	0,057810629	18772				
38,64203352	0,027681668	0,066112582	18820				
38,74176635	0,024329888	0,053171478	18868				
38,93734351	0,025566715	0,144872862	18916				
39,03704156	0,024932568	0,051530982	18964				
39,12957797	0,02456437	0,04518421	19012				
39,22846395	0,023870069	0,051459973	19056				
39,33819852	0,023797813	0,062984698	19101				
39,43818965	0,026122828	0,049678495	19146				
39,54072093	0,024898418	0,054961683	19198				
39,63472317	0,024086058	0,046926603	19243				
39,73699653	0,024674719	0,053949833	19287				
39,84532106	0,028039683	0,054922854	19331				
39,94282952	0,024090596	0,049739861	19375				
40,04707084	0,025961683	0,05428631	19423				
40,13734955	0,024703403	0,042669913	19464				
40,23525867	0,025995541	0,049144639	19505				
40,36498935	0,025589408	0,08063553	19553				
40,47132051	0,025216591	0,056825452	19594				
40,60080564	0,029378294	0,07488995	19642				
40,70397167	0,024791289	0,055313358	19690				
40,81277822	0,027849615	0,055235261	19738				
40,93104379	0,029393799	0,063844866	19779				
41,03206529	0,028350623	0,047165594	19827				
41,13638887	0,026724108	0,053278058	19868				
41,24667212	0,02568176	0,061110233	19916				
41,3512996	0,025199325	0,054746876	19964				
41,47319743	0,025064642	0,07221869	20012				
41,59322004	0,028636366	0,067605301	20060				
41,71087665	0,026903977	0,066348051	20108				
41,81713462	0,027369078	0,054865433	20149				
41,91058557	0,024960299	0,044467526	20190				
42,01593687	0,024137239	0,057811245	20235				
42,11074228	0,025790586	0,046226345	20283				
42,21149013	0,026628648	0,050865939	20331				
42,31327347	0,023238743	0,055148523	20375				
42,41249184	0,024640861	0,051722664	20419				
