Parsing time;Functional matching time;Corpus time;Semantic matching time;Syntactic matching time;Ordering time;QoS matching time;SP matching time;Total matching time
0.0008185766637325287;6.751915025059134;0.038712496403604746;0.008042821660637856;6.564395002555102;0.0003380761481821537;0.010604151990264654;0.004722050856798887;6.787906082812697;
0.000384641345590353;7.329662075731903;0.039890249725431204;0.009160172659903765;7.137836269102991;0.00016470998525619507;0.0029818499460816383;0.000702188815921545;7.337254231330007;
0.00042032403871417046;6.630802565254271;0.036737061105668545;0.008212185464799404;6.440051962155849;0.003416472114622593;0.052742615807801485;0.0225049308501184;6.777516494970769;
0.0003683655522763729;6.58188760606572;0.038172055035829544;0.008633718825876713;6.396906872745603;0.001327579841017723;0.05518087465316057;0.008125181775540113;6.695011001545936;
0.00039174919947981834;8.212221970781684;0.03807272808626294;0.01065578032284975;8.01656125113368;0.00015883427113294601;0.002783742733299732;0.0016297348774969578;8.225765629205853;
0.0004291650839149952;6.662524121813476;0.03884345106780529;0.008637279737740755;6.474497345276177;0.00017314497381448746;0.003556493204087019;0.002231223974376917;6.681102111004293;
0.00038375286385416985;7.280931911896914;0.03920239116996527;0.009505425114184618;7.088232782203704;0.00017659319564700127;0.0034876461140811443;0.002273492980748415;7.298512191977352;
0.00039148563519120216;6.695055817253888;0.0394707340747118;0.009018444921821356;6.505223402753472;0.0006334669888019562;0.023690226022154093;0.01234966330230236;6.7822267529554665;
0.0003909040242433548;6.945442677941173;0.04021584102883935;0.007933929562568665;6.757611768785864;0.00014202622696757317;0.0019597411155700684;0.001299888826906681;6.956401225645095;
0.00043691787868738174;6.677442143205553;0.03693409217521548;0.008223770186305046;6.4945242600515485;0.0001654280349612236;0.0030959169380366802;0.0019579436630010605;6.692946597002447;
0.0004089321009814739;6.623681982047856;0.03806264232844114;0.0082597890868783;6.437626532744616;0.0006136232987046242;0.025377206038683653;0.013574270065873861;6.714530275203288;
0.0003921608440577984;7.25927078910172;0.03838335117325187;0.008540603797882795;7.069013909902424;0.00078178895637393;0.02650310192257166;0.013547881972044706;7.33555433480069;
0.00038760341703891754;6.69182939780876;0.038456364069134;0.007614399306476116;6.503301297780126;0.0004612049087882042;0.01630454184487462;0.001375454943627119;6.724120805040002;
0.00040078815072774887;6.6841987506486475;0.03852715669199824;0.008028449025005102;6.497885155491531;0.00015596020966768265;0.0026654121465981007;0.0014149160124361515;6.697044322732836;
0.0004337388090789318;6.739466814789921;0.03932063188403845;0.00805881293490529;6.5494031817652285;0.00014848820865154266;0.0025696931406855583;0.0015701348893344402;6.752471103798598;
0.00039780233055353165;6.715881117619574;0.039844999089837074;0.008657417725771666;6.52229624055326;0.0005969530902802944;0.023251450154930353;0.008137605153024197;6.781939456239343;
0.00039503397420048714;6.756705486215651;0.03812496783211827;0.008631810080260038;6.569526218343526;0.00023427698761224747;0.006610136944800615;0.003363656811416149;6.779066345188767;
0.00042778998613357544;6.7039621621370316;0.03797417366877198;0.008104169741272926;6.516420696862042;0.00020729098469018936;0.004928798880428076;0.0029125772416591644;6.7276207422837615;
0.0004184418357908726;6.727561513893306;0.038297734688967466;0.008099609985947609;6.541707850527018;0.000187557190656662;0.0038218358531594276;0.0009346213191747665;6.738034620881081;
