Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Sensors	Total discovery time
48,71087903	0,214985683	0,133856056	7153	96	0,387173118
49,09805215	0,203897368	0,130826072	7217	97	0,34911248
49,44716463	0,206135644	0,095028295	7269	98	0,368708998
49,81587363	0,204478533	0,117562551	7332	99	0,348915714
50,16478934	0,205260179	0,097642939	7384	100	0,412435894
50,57722523	0,201791906	0,13566486	7447	101	0,401420808
50,97864604	0,255745909	0,096479664	7499	102	0,402705335
51,38135138	0,22580627	0,127821081	7562	103	0,375376449
51,75672783	0,208811879	0,114018059	7614	104	0,35445112
52,11117895	0,204311445	0,103840903	7662	105	0,355686573
52,46686552	0,206926915	0,10160475	7710	106	0,386915315
52,85378083	0,201398272	0,138932151	7777	107	0,38654311
53,24032394	0,201875862	0,13566441	7840	108	0,386753682
53,62707763	0,202879314	0,133309004	7908	109	0,362609975
53,9896876	0,198072427	0,11485316	7956	110	0,346398534
54,33608613	0,198625877	0,101795721	8019	111	0,376083683
54,71216982	0,198328332	0,133937663	8078	112	0,735089224
55,44725904	0,588997178	0,095375035	8126	113	0,26102248
55,70828152	0,109459263	0,122160617	8193	114	0,336157732
56,04443925	0,202697776	0,102797546	8245	115	0,393505387
56,43794464	0,23898375	0,104073139	8297	116	0,389693464
56,82763811	0,233039048	0,101491259	8345	117	0,389592115
57,21723022	0,230703825	0,108150497	8393	118	0,412707035
57,62993725	0,239016431	0,123065759	8445	119	0,405936656
58,03587391	0,2303548	0,128582167	8505	120	0,410704321
58,44657823	0,233833297	0,129466462	8568	121	0,418084797
58,86466303	0,237058666	0,133337538	8627	122	0,417290953
59,28195398	0,230156717	0,139062885	8690	123	0,381061521
59,6630155	0,23591269	0,096481002	8734	124	0,468942048
60,13195755	0,321299819	0,099158629	8778	125	0,383620869
60,51557842	0,231134161	0,105691907	8826	126	0,381302399
60,89688082	0,225815563	0,107923826	8874	127	0,441314609
61,33819543	0,233445447	0,129457626	8934	128	0,324058637
61,66225406	0,180848243	0,093960322	8982	129	0,37504931
62,03730338	0,203459608	0,128609475	9045	130	0,342941721
62,3802451	0,209910879	0,083333195	9093	131	0,216849626
62,59709472	0,093932788	0,093788344	9141	132	0,252463461
62,84955818	0,095286877	0,122792506	9208	133	0,414885289
63,26444347	0,239853248	0,123678025	9271	134	0,37594542
63,64038889	0,220051048	0,104095409	9315	135	0,461186898
64,10157579	0,287327461	0,122313562	9367	136	0,377319082
64,47889487	0,227978458	0,099977682	9419	137	0,403045006
64,88193988	0,226710467	0,12619665	9482	138	0,381541133
65,26348101	0,222312467	0,107682118	9530	139	0,377704495
65,64118551	0,221516177	0,106060564	9578	140	0,380072969
66,02125847	0,224456922	0,103555605	9626	141	0,386209319
66,40746779	0,227108257	0,106521589	9674	142	0,389019445
66,79648724	0,229892512	0,104083841	9722	143	0,405241182
67,20172842	0,22859411	0,123195613	9770	144	0,368949427
67,57067785	0,220183571	0,098671423	9811	145	0,4082732
67,97895105	0,22983169	0,128240534	9878	146	0,40584205
68,3847931	0,260787373	0,09397148	9926	147	0,41933605
68,80412915	0,243663	0,126257932	9985	148	0,367808464
69,17193761	0,217217662	0,10129662	10034	149	0,373956406
69,54589402	0,221652636	0,098478915	10082	150	0,378204506
69,92409852	0,222889141	0,104833403	10126	151	0,431634441
70,35573296	0,24722482	0,131875998	10174	152	0,387370725
70,74310369	0,223334172	0,112588329	10222	153	0,226867708
70,9699714	0,092941337	0,088438976	10270	154	0,24253745
71,21250885	0,092973732	0,119336731	10333	155	0,345388896
71,55789774	0,171096963	0,141749947	10401	156	0,406123928
71,96402167	0,220046765	0,135695353	10464	157	0,413629899
72,37765157	0,265657718	0,092172259	10512	158	0,399521454
72,77717303	0,227528814	0,109057469	10557	159	0,427923137
73,20509616	0,220061901	0,129716318	10616	160	0,287595422
73,49269158	0,116728482	0,117626183	10679	161	0,221469134
73,71416072	0,091923265	0,095413196	10727	162	0,334461498
74,04862222	0,160477145	0,141856977	10790	163	0,388054728
74,43667694	0,224247017	0,111273576	10834	164	0,384977813
74,82165476	0,218187276	0,115926421	10882	165	0,236448793
75,05810355	0,091072884	0,113425458	10942	166	0,258758703
75,31686225	0,091870683	0,135964373	11002	167	0,371880603
75,68874286	0,216022771	0,10182133	11046	168	0,415487701
76,10423056	0,260517676	0,101143258	11094	169	0,410713265
76,51494382	0,214846294	0,141169796	11153	170	0,387521091
76,90246491	0,222177916	0,109620878	11201	171	0,386880457
77,28934537	0,218968484	0,114176999	11242	172	0,38195453
77,6712999	0,213461381	0,1128769	11290	173	0,435606626
78,10690653	0,235335243	0,148238834	11338	174	0,382793551
78,48970008	0,222165355	0,103999667	11386	175	0,383051843
78,87275192	0,228563033	0,098351523	11434	176	0,374273043
79,24702496	0,213816584	0,104459666	11482	177	0,374536198
79,62156116	0,218166261	0,101880043	11530	178	0,412298122
80,03385928	0,218460974	0,139023018	11593	179	0,360362471
80,39422175	0,215396092	0,092022691	11641	180	0,211404241
80,60562599	0,091729687	0,086100888	11686	181	0,254758047
80,86038404	0,091352444	0,09751819	11734	182	0,408519222
81,26890326	0,217822983	0,136388715	11797	183	0,378432531
81,6473358	0,223575448	0,095910634	11838	184	0,349554914
81,99689071	0,198373254	0,096596179	11886	185	0,35044557
82,34733628	0,191994198	0,107447506	11930	186	0,414917237
82,76225352	0,218335992	0,139012498	11997	187	0,229111079
82,9913646	0,102332277	0,091313005	12045	188	0,273443499
83,26480809	0,090245475	0,114989552	12105	189	0,402476924
83,66728502	0,221398464	0,1264188	12168	190	0,416506138
84,08379116	0,234876231	0,125688131	12229	191	0,368078663
84,45186982	0,213938668	0,100466902	12273	192	0,388186166
84,84005598	0,234903989	0,099792016	12321	193	0,371278034
85,21133402	0,212977196	0,104211688	12369	194	0,389498422
85,60083244	0,212799379	0,120431576	12417	195	0,410493065
86,01132551	0,21678202	0,136638237	12480	196	0,414324826
86,42565033	0,220518212	0,141939191	12539	197	0,377479795
86,80313013	0,211847624	0,110684705	12587	198	0,394497822
87,19762795	0,229192006	0,111322555	12639	199	0,385110718
87,58273867	0,2193089	0,107949306	12684	200	0,437968856
88,02070752	0,274066113	0,107492292	12728	201	0,4144799
88,43518742	0,225717273	0,106450691	12773	202	0,390433978
88,8256214	0,227200148	0,107990079	12821	203	0,368393125
89,19401453	0,210702055	0,101112336	12866	204	0,289254694
89,48326922	0,113288487	0,122826137	12929	205	0,224639411
89,70790863	0,089200117	0,099997624	12977	206	0,313719765
90,0216284	0,155072949	0,121745192	13029	207	0,483028275
90,50465667	0,249671459	0,178178506	13092	208	0,363916594
